"행정구역","2025년12월_계_총인구수","2025년12월_계_연령구간인구수","2025년12월_계_0~9세","2025년12월_계_10~19세","2025년12월_계_20~29세","2025년12월_계_30~39세","2025년12월_계_40~49세","2025년12월_계_50~59세","2025년12월_계_60~69세","2025년12월_계_70~79세","2025년12월_계_80~89세","2025년12월_계_90~99세","2025년12월_계_100세 이상","2025년12월_남_총인구수","2025년12월_남_연령구간인구수","2025년12월_남_0~9세","2025년12월_남_10~19세","2025년12월_남_20~29세","2025년12월_남_30~39세","2025년12월_남_40~49세","2025년12월_남_50~59세","2025년12월_남_60~69세","2025년12월_남_70~79세","2025년12월_남_80~89세","2025년12월_남_90~99세","2025년12월_남_100세 이상","2025년12월_여_총인구수","2025년12월_여_연령구간인구수","2025년12월_여_0~9세","2025년12월_여_10~19세","2025년12월_여_20~29세","2025년12월_여_30~39세","2025년12월_여_40~49세","2025년12월_여_50~59세","2025년12월_여_60~69세","2025년12월_여_70~79세","2025년12월_여_80~89세","2025년12월_여_90~99세","2025년12월_여_100세 이상"
"서울특별시  (1100000000)","9,299,548","9,299,548","460,662","717,871","1,254,885","1,462,944","1,364,640","1,467,714","1,318,843","827,265","367,911","55,400","1,413","4,481,099","4,481,099","236,468","366,669","586,727","731,350","674,176","721,924","625,168","372,456","150,059","15,811","291","4,818,449","4,818,449","224,194","351,202","668,158","731,594","690,464","745,790","693,675","454,809","217,852","39,589","1,122"
"서울특별시 종로구 (1111000000)","137,048","137,048","5,090","9,193","20,206","19,869","18,245","22,755","21,001","12,563","6,880","1,212","34","65,668","65,668","2,609","4,492","9,363","9,899","8,768","11,144","10,488","5,792","2,717","386","10","71,380","71,380","2,481","4,701","10,843","9,970","9,477","11,611","10,513","6,771","4,163","826","24"
"서울특별시 종로구 청운효자동(1111051500)","10,876","10,876","509","1,006","1,266","1,509","1,716","1,846","1,412","936","574","100","2","4,909","4,909","265","499","615","684","742","835","628","380","232","27","2","5,967","5,967","244","507","651","825","974","1,011","784","556","342","73","0"
"서울특별시 종로구 사직동(1111053000)","8,898","8,898","378","599","1,013","1,435","1,372","1,468","1,277","749","495","106","6","3,898","3,898","187","269","425","633","580","652","591","310","207","41","3","5,000","5,000","191","330","588","802","792","816","686","439","288","65","3"
"서울특별시 종로구 삼청동(1111054000)","2,114","2,114","68","154","217","272","287","318","365","257","144","32","0","1,004","1,004","32","85","120","121","141","149","169","121","57","9","0","1,110","1,110","36","69","97","151","146","169","196","136","87","23","0"
"서울특별시 종로구 부암동(1111055000)","8,926","8,926","336","745","1,026","1,172","1,310","1,594","1,367","836","446","90","4","4,169","4,169","177","398","518","570","583","713","629","369","183","29","0","4,757","4,757","159","347","508","602","727","881","738","467","263","61","4"
"서울특별시 종로구 평창동(1111056000)","17,071","17,071","875","1,531","1,750","2,001","2,428","2,967","2,854","1,562","872","222","9","7,897","7,897","468","763","846","951","1,081","1,315","1,340","722","337","72","2","9,174","9,174","407","768","904","1,050","1,347","1,652","1,514","840","535","150","7"
"서울특별시 종로구 무악동(1111057000)","7,691","7,691","465","860","793","791","1,220","1,356","1,108","654","387","57","0","3,513","3,513","217","363","349","367","571","688","515","280","141","22","0","4,178","4,178","248","497","444","424","649","668","593","374","246","35","0"
"서울특별시 종로구 교남동(1111058000)","9,438","9,438","614","745","1,050","1,373","1,587","1,687","1,169","778","377","58","0","4,309","4,309","298","348","486","606","736","810","530","327","151","17","0","5,129","5,129","316","397","564","767","851","877","639","451","226","41","0"
"서울특별시 종로구 가회동(1111060000)","3,620","3,620","123","284","329","505","558","635","546","386","218","35","1","1,682","1,682","79","146","152","240","257","297","253","172","75","11","0","1,938","1,938","44","138","177","265","301","338","293","214","143","24","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,609","6,609","139","226","874","1,050","804","1,041","1,262","782","379","49","3","3,986","3,986","77","124","430","621","476","689","858","508","180","21","2","2,623","2,623","62","102","444","429","328","352","404","274","199","28","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,428","5,428","138","198","1,158","1,001","591","769","820","456","259","38","0","2,801","2,801","74","83","500","538","344","433","469","231","116","13","0","2,627","2,627","64","115","658","463","247","336","351","225","143","25","0"
"서울특별시 종로구 이화동(1111064000)","7,057","7,057","141","323","1,548","1,272","789","976","972","620","357","59","0","3,254","3,254","65","155","638","641","386","474","468","274","137","16","0","3,803","3,803","76","168","910","631","403","502","504","346","220","43","0"
"서울특별시 종로구 혜화동(1111065000)","15,652","15,652","429","1,108","4,189","2,063","1,794","2,285","1,735","1,142","773","127","7","7,493","7,493","211","553","2,056","1,082","862","1,091","831","468","304","34","1","8,159","8,159","218","555","2,133","981","932","1,194","904","674","469","93","6"
"서울특별시 종로구 창신제1동(1111067000)","4,416","4,416","95","145","511","606","446","739","1,029","549","263","33","0","2,327","2,327","49","78","261","330","250","381","587","281","103","7","0","2,089","2,089","46","67","250","276","196","358","442","268","160","26","0"
"서울특별시 종로구 창신제2동(1111068000)","7,174","7,174","143","278","780","881","735","1,485","1,561","848","405","58","0","3,682","3,682","73","146","406","511","411","759","823","393","139","21","0","3,492","3,492","70","132","374","370","324","726","738","455","266","37","0"
"서울특별시 종로구 창신제3동(1111069000)","6,128","6,128","248","379","692","915","739","1,107","1,106","594","295","52","1","2,994","2,994","129","180","356","486","366","530","548","272","106","21","0","3,134","3,134","119","199","336","429","373","577","558","322","189","31","1"
"서울특별시 종로구 숭인제1동(1111070000)","5,713","5,713","175","319","684","791","795","1,029","996","599","276","48","1","2,777","2,777","92","160","319","416","406","520","478","278","99","9","0","2,936","2,936","83","159","365","375","389","509","518","321","177","39","1"
