"행정구역","2023년12월_계_총인구수","2023년12월_계_연령구간인구수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총인구수","2023년12월_남_연령구간인구수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총인구수","2023년12월_여_연령구간인구수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"전라남도 해남군 송지면(4682034000)","5,701","5,701","212","308","356","332","556","940","1,338","901","662","93","3","2,820","2,820","106","146","227","194","330","508","675","414","209","11","0","2,881","2,881","106","162","129","138","226","432","663","487","453","82","3"
"전라남도 해남군 북평면(4682035000)","2,595","2,595","47","133","168","94","207","407","590","513","389","47","0","1,270","1,270","25","64","103","51","126","239","293","232","124","13","0","1,325","1,325","22","69","65","43","81","168","297","281","265","34","0"
"전라남도 해남군 북일면(4682036000)","1,953","1,953","52","87","92","62","148","323","430","393","315","50","1","947","947","28","40","61","34","84","195","232","168","99","6","0","1,006","1,006","24","47","31","28","64","128","198","225","216","44","1"
"전라남도 해남군 옥천면(4682037000)","2,831","2,831","66","146","153","101","245","526","596","493","437","65","3","1,440","1,440","35","79","89","64","136","310","346","220","144","17","0","1,391","1,391","31","67","64","37","109","216","250","273","293","48","3"
"전라남도 해남군 계곡면(4682038000)","2,040","2,040","58","80","64","77","177","279","470","378","401","54","2","994","994","29","46","41","43","102","173","243","188","120","9","0","1,046","1,046","29","34","23","34","75","106","227","190","281","45","2"
"전라남도 해남군 마산면(4682039000)","2,262","2,262","43","125","107","98","198","382","482","424","342","58","3","1,150","1,150","25","70","71","54","129","252","245","182","110","12","0","1,112","1,112","18","55","36","44","69","130","237","242","232","46","3"
"전라남도 해남군 황산면(4682040000)","4,360","4,360","104","215","205","212","344","675","1,163","811","552","79","0","2,175","2,175","48","111","136","128","216","382","596","376","165","17","0","2,185","2,185","56","104","69","84","128","293","567","435","387","62","0"
"전라남도 해남군 산이면(4682041000)","3,486","3,486","121","181","192","188","334","564","789","618","430","69","0","1,812","1,812","65","95","113","102","233","360","420","273","146","5","0","1,674","1,674","56","86","79","86","101","204","369","345","284","64","0"
"전라남도 해남군 문내면(4682042000)","3,746","3,746","127","200","204","199","304","611","890","687","454","69","1","1,889","1,889","66","101","130","116","185","350","458","316","156","11","0","1,857","1,857","61","99","74","83","119","261","432","371","298","58","1"
"전라남도 해남군 화원면(4682043000)","3,249","3,249","76","163","205","152","307","580","770","585","368","41","2","1,746","1,746","41","83","128","103","202","371","433","271","106","7","1","1,503","1,503","35","80","77","49","105","209","337","314","262","34","1"
"전라남도 영암군 (4683000000)","52,350","52,350","2,597","4,090","4,726","3,976","6,978","9,506","9,425","6,029","4,323","680","20","27,372","27,372","1,349","2,120","2,829","2,121","4,135","5,513","5,069","2,733","1,349","151","3","24,978","24,978","1,248","1,970","1,897","1,855","2,843","3,993","4,356","3,296","2,974","529","17"
"전라남도 영암군 영암읍(4683025000)","7,815","7,815","448","717","754","571","982","1,333","1,392","929","571","113","5","3,875","3,875","230","368","420","276","502","710","730","416","193","29","1","3,940","3,940","218","349","334","295","480","623","662","513","378","84","4"
"전라남도 영암군 삼호읍(4683025300)","15,493","15,493","1,242","1,846","1,701","1,590","2,917","2,878","1,937","914","412","54","2","8,304","8,304","632","946","972","758","1,681","1,693","1,047","438","126","11","0","7,189","7,189","610","900","729","832","1,236","1,185","890","476","286","43","2"
"전라남도 영암군 삼호읍서부출장소(4683025400)","6,483","6,483","379","607","910","731","1,220","1,518","717","241","134","25","1","3,880","3,880","197","316","601","465","793","919","440","109","36","4","0","2,603","2,603","182","291","309","266","427","599","277","132","98","21","1"
"전라남도 영암군 덕진면(4683031000)","1,729","1,729","49","84","85","87","147","287","378","293","267","51","1","859","859","28","46","45","52","92","183","200","128","74","11","0","870","870","21","38","40","35","55","104","178","165","193","40","1"
"전라남도 영암군 금정면(4683032000)","2,017","2,017","26","49","117","79","161","378","483","373","293","56","2","1,032","1,032","13","27","76","41","87","226","283","182","87","10","0","985","985","13","22","41","38","74","152","200","191","206","46","2"
"전라남도 영암군 신북면(4683033000)","3,498","3,498","78","140","209","177","303","599","868","611","442","70","1","1,773","1,773","37","68","148","98","184","333","462","278","144","21","0","1,725","1,725","41","72","61","79","119","266","406","333","298","49","1"
"전라남도 영암군 시종면(4683034000)","3,290","3,290","96","103","173","153","295","519","823","599","462","63","4","1,699","1,699","55","57","117","89","204","325","433","275","136","7","1","1,591","1,591","41","46","56","64","91","194","390","324","326","56","3"
"전라남도 영암군 도포면(4683035000)","2,128","2,128","45","83","147","103","161","368","516","360","309","35","1","1,103","1,103","30","54","96","65","101","205","281","168","94","9","0","1,025","1,025","15","29","51","38","60","163","235","192","215","26","1"
"전라남도 영암군 군서면(4683036000)","3,078","3,078","67","138","199","157","242","511","715","534","442","72","1","1,503","1,503","42","80","123","87","152","291","364","223","125","15","1","1,575","1,575","25","58","76","70","90","220","351","311","317","57","0"
"전라남도 영암군 서호면(4683037000)","1,823","1,823","52","64","104","77","142","260","426","337","313","47","1","888","888","22","37","65","48","90","147","227","146","96","10","0","935","935","30","27","39","29","52","113","199","191","217","37","1"
"전라남도 영암군 학산면(4683038000)","2,861","2,861","79","166","221","143","227","503","639","467","356","60","0","1,384","1,384","46","76","110","73","130","276","327","204","130","12","0","1,477","1,477","33","90","111","70","97","227","312","263","226","48","0"
"전라남도 영암군 미암면(4683039000)","2,135","2,135","36","93","106","108","181","352","531","371","322","34","1","1,072","1,072","17","45","56","69","119","205","275","166","108","12","0","1,063","1,063","19","48","50","39","62","147","256","205","214","22","1"
"전라남도 무안군 (4684000000)","90,296","90,296","7,105","10,066","9,201","10,118","14,446","13,625","12,362","7,893","4,769","690","21","45,431","45,431","3,674","5,089","4,966","5,094","7,521","7,429","6,326","3,707","1,501","124","0","44,865","44,865","3,431","4,977","4,235","5,024","6,925","6,196","6,036","4,186","3,268","566","21"
"전라남도 무안군 무안읍(4684025000)","10,860","10,860","656","1,081","1,275","903","1,437","1,944","1,757","1,142","588","76","1","5,427","5,427","330","582","725","467","746","1,011","859","496","200","11","0","5,433","5,433","326","499","550","436","691","933","898","646","388","65","1"
"전라남도 무안군 일로읍(4684025300)","16,230","16,230","2,278","2,036","964","2,237","3,140","1,897","1,716","1,145","698","115","4","8,127","8,127","1,200","989","559","1,025","1,693","1,036","872","514","223","16","0","8,103","8,103","1,078","1,047","405","1,212","1,447","861","844","631","475","99","4"
"전라남도 무안군 삼향읍(4684025600)","5,237","5,237","129","268","427","313","474","986","1,297","800","465","73","5","2,758","2,758","61","134","232","192","278","582","710","402","156","11","0","2,479","2,479","68","134","195","121","196","404","587","398","309","62","5"
"전라남도 무안군 삼향읍남악출장소(4684025800)","35,032","35,032","3,619","5,683","4,586","5,503","7,504","4,829","2,121","817","319","51","0","17,291","17,291","1,855","2,880","2,343","2,698","3,599","2,421","1,001","382","99","13","0","17,741","17,741","1,764","2,803","2,243","2,805","3,905","2,408","1,120","435","220","38","0"
"전라남도 무안군 몽탄면(4684032000)","2,900","2,900","33","94","199","118","209","508","694","519","455","71","0","1,464","1,464","19","43","123","77","130","306","384","243","122","17","0","1,436","1,436","14","51","76","41","79","202","310","276","333","54","0"
"전라남도 무안군 청계면(4684033000)","6,389","6,389","132","355","947","414","596","1,048","1,364","884","555","89","5","3,339","3,339","63","189","543","233","365","597","730","426","173","20","0","3,050","3,050","69","166","404","181","231","451","634","458","382","69","5"
"전라남도 무안군 현경면(4684034000)","4,406","4,406","76","151","263","205","323","800","1,095","858","564","71","0","2,289","2,289","41","67","142","132","226","502","576","412","177","14","0","2,117","2,117","35","84","121","73","97","298","519","446","387","57","0"
