"행정구역","2023년12월_전체세대","2023년12월_1인세대","2023년12월_2인세대","2023년12월_3인세대","2023년12월_4인세대","2023년12월_5인세대","2023년12월_6인세대","2023년12월_7인세대","2023년12월_8인세대","2023년12월_9인세대","2023년12월_10인이상세대"
"전국  (1000000000)","23,914,851","9,935,600","5,866,073","4,029,815","3,148,835","743,232","144,626","32,964","8,542","2,631","2,533"
"서울특별시  (1100000000)","4,469,417","1,988,235","998,390","746,450","575,701","124,637","26,772","6,429","1,817","587","399"
"서울특별시 종로구 (1111000000)","72,067","37,728","14,439","10,174","7,268","1,853","437","107","37","11","13"
"서울특별시 종로구 청운효자동(1111051500)","5,048","1,964","1,170","958","706","185","45","11","6","3","0"
"서울특별시 종로구 사직동(1111053000)","4,536","2,299","917","666","491","119","24","13","3","1","3"
"서울특별시 종로구 삼청동(1111054000)","1,120","555","258","137","108","44","13","4","1","0","0"
"서울특별시 종로구 부암동(1111055000)","4,133","1,674","988","750","523","146","37","11","3","0","1"
"서울특별시 종로구 평창동(1111056000)","7,135","2,260","1,795","1,443","1,164","352","85","18","15","0","3"
"서울특별시 종로구 무악동(1111057000)","3,008","707","748","693","676","147","27","7","1","1","1"
"서울특별시 종로구 교남동(1111058000)","4,344","1,621","1,055","886","629","125","16","9","1","2","0"
"서울특별시 종로구 가회동(1111060000)","1,910","921","397","325","195","52","16","3","0","0","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,903","3,921","488","270","167","40","13","3","0","1","0"
"서울특별시 종로구 종로5.6가동(1111063000)","3,581","2,570","499","294","170","37","8","3","0","0","0"
"서울특별시 종로구 이화동(1111064000)","4,211","2,731","732","408","256","60","18","3","1","1","1"
"서울특별시 종로구 혜화동(1111065000)","9,114","5,697","1,425","1,010","732","177","55","8","5","2","3"
"서울특별시 종로구 창신제1동(1111067000)","2,626","1,547","554","311","154","47","9","4","0","0","0"
"서울특별시 종로구 창신제2동(1111068000)","3,983","2,031","966","537","343","77","25","3","1","0","0"
"서울특별시 종로구 창신제3동(1111069000)","2,769","946","737","573","383","110","16","4","0","0","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,995","1,489","703","437","276","69","20","1","0","0","0"
"서울특별시 종로구 숭인제2동(1111071000)","6,651","4,795","1,007","476","295","66","10","2","0","0","0"
"서울특별시 중구 (1114000000)","64,714","34,519","14,159","8,683","5,583","1,312","318","88","32","7","13"
"서울특별시 중구 소공동(1114052000)","1,237","738","237","151","93","10","3","3","1","0","1"
"서울특별시 중구 회현동(1114054000)","2,502","1,515","450","280","183","50","14","8","1","1","0"
"서울특별시 중구 명동(1114055000)","1,375","950","220","114","65","16","3","3","1","1","2"
