"행정구역","2024년12월_전체세대","2024년12월_1인세대","2024년12월_2인세대","2024년12월_3인세대","2024년12월_4인세대","2024년12월_5인세대","2024년12월_6인세대","2024년12월_7인세대","2024년12월_8인세대","2024년12월_9인세대","2024년12월_10인이상세대"
"서울특별시 성동구 행당제2동(1120057000)","9,183","2,450","2,535","2,198","1,613","300","65","17","2","1","2"
"서울특별시 성동구 응봉동(1120058000)","5,909","1,601","1,508","1,415","1,123","218","34","6","3","1","0"
"서울특별시 성동구 금호1가동(1120059000)","6,429","2,218","1,693","1,405","874","185","42","9","2","1","0"
"서울특별시 성동구 금호2.3가동(1120061500)","9,554","3,462","2,554","1,978","1,243","253","46","13","5","0","0"
"서울특별시 성동구 금호4가동(1120062000)","6,395","2,360","1,666","1,354","813","155","38","7","2","0","0"
"서울특별시 성동구 옥수동(1120064500)","10,714","3,130","3,072","2,585","1,504","327","74","16","2","3","1"
"서울특별시 성동구 성수1가제1동(1120065000)","7,377","3,254","1,777","1,267","864","165","43","2","5","0","0"
"서울특별시 성동구 성수1가제2동(1120066000)","5,825","2,714","1,356","956","639","123","30","5","2","0","0"
"서울특별시 성동구 성수2가제1동(1120067000)","7,472","3,814","1,729","1,065","691","124","39","7","3","0","0"
"서울특별시 성동구 성수2가제3동(1120069000)","5,012","2,612","1,054","668","519","120","31","7","1","0","0"
"서울특별시 성동구 송정동(1120072000)","5,259","2,944","1,121","649","431","92","18","4","0","0","0"
"서울특별시 성동구 용답동(1120079000)","7,831","5,398","1,320","600","391","92","23","4","1","1","1"
"서울특별시 광진구 (1121500000)","169,931","85,851","35,640","25,311","18,309","3,685","838","213","60","12","12"
"서울특별시 광진구 화양동(1121571000)","18,011","14,938","1,906","674","397","66","24","5","0","0","1"
"서울특별시 광진구 군자동(1121573000)","11,223","7,056","2,037","1,207","724","140","39","14","4","2","0"
"서울특별시 광진구 중곡제1동(1121574000)","8,673","4,957","1,943","1,030","578","130","29","6","0","0","0"
"서울특별시 광진구 중곡제2동(1121575000)","10,548","5,310","2,479","1,509","963","222","51","9","2","2","1"
"서울특별시 광진구 중곡제3동(1121576000)","8,473","4,530","2,029","1,087","647","148","23","8","1","0","0"
"서울특별시 광진구 중곡제4동(1121577000)","13,001","5,414","3,390","2,280","1,484","322","82","23","4","1","1"
