"행정구역","2022년12월_전체세대","2022년12월_1인세대","2022년12월_2인세대","2022년12월_3인세대","2022년12월_4인세대","2022년12월_5인세대","2022년12월_6인세대","2022년12월_7인세대","2022년12월_8인세대","2022년12월_9인세대","2022년12월_10인이상세대"
"서울특별시 중구 소공동(1114052000)","1,286","775","241","167","84","8","7","2","1","0","1"
"서울특별시 중구 회현동(1114054000)","2,561","1,541","447","299","196","55","11","10","1","1","0"
"서울특별시 중구 명동(1114055000)","1,457","1,020","214","117","78","15","5","4","1","0","3"
"서울특별시 중구 필동(1114057000)","2,431","1,604","419","211","141","44","8","3","0","0","1"
"서울특별시 중구 장충동(1114058000)","2,829","1,911","440","239","171","47","15","2","1","0","3"
"서울특별시 중구 광희동(1114059000)","3,424","2,419","529","272","144","34","21","3","2","0","0"
"서울특별시 중구 을지로동(1114060500)","1,297","1,065","148","50","23","8","3","0","0","0","0"
"서울특별시 중구 신당동(1114061500)","4,808","3,190","875","415","239","64","19","5","1","0","0"
"서울특별시 중구 다산동(1114062500)","6,821","3,276","1,649","1,003","688","150","41","10","2","0","2"
"서울특별시 중구 약수동(1114063500)","7,779","3,128","2,139","1,422","832","189","49","14","2","0","4"
"서울특별시 중구 청구동(1114064500)","6,205","2,530","1,634","1,067","741","179","44","6","2","1","1"
"서울특별시 중구 신당제5동(1114065000)","5,334","2,735","1,216","711","521","122","20","7","1","1","0"
"서울특별시 중구 동화동(1114066500)","3,989","1,122","1,040","856","708","194","45","12","11","0","1"
"서울특별시 중구 황학동(1114067000)","7,199","4,129","1,572","852","507","103","25","9","0","1","1"
"서울특별시 중구 중림동(1114068000)","5,719","2,509","1,304","992","709","164","29","10","2","0","0"
"서울특별시 용산구 (1117000000)","109,805","54,005","23,836","16,454","11,744","2,808","694","178","51","18","17"
"서울특별시 용산구 후암동(1117051000)","8,281","4,167","1,805","1,216","808","209","44","21","6","1","4"
"서울특별시 용산구 용산2가동(1117052000)","5,057","2,801","1,167","615","361","91","18","3","1","0","0"
"서울특별시 용산구 남영동(1117053000)","5,021","3,850","625","284","196","43","14","8","0","1","0"
"서울특별시 용산구 청파동(1117055500)","11,089","6,875","2,096","1,112","743","198","47","13","1","1","3"
"서울특별시 용산구 원효로제1동(1117056000)","9,212","5,007","1,864","1,258","852","185","31","8","4","2","1"
"서울특별시 용산구 원효로제2동(1117057000)","6,094","2,392","1,391","1,147","882","204","59","12","3","1","3"
"서울특별시 용산구 효창동(1117058000)","4,694","1,718","1,161","868","723","163","46","8","4","2","1"
"서울특별시 용산구 용문동(1117059000)","5,320","2,110","1,304","1,047","666","147","33","9","2","2","0"
"서울특별시 용산구 한강로동(1117062500)","11,388","6,133","2,361","1,579","1,038","201","54","13","6","1","2"
"서울특별시 용산구 이촌제1동(1117063000)","9,152","1,859","2,194","2,387","2,119","439","111","29","9","3","2"
"서울특별시 용산구 이촌제2동(1117064000)","3,598","1,296","974","725","451","118","25","8","1","0","0"
"서울특별시 용산구 이태원제1동(1117065000)","3,467","1,986","747","408","245","57","21","2","1","0","0"
"서울특별시 용산구 이태원제2동(1117066000)","4,837","2,678","1,078","601","350","92","34","2","2","0","0"
"서울특별시 용산구 한남동(1117068500)","10,394","5,557","2,271","1,364","859","234","75","22","8","3","1"
"서울특별시 용산구 서빙고동(1117069000)","5,129","1,713","1,180","918","927","314","57","17","3","0","0"
"서울특별시 용산구 보광동(1117070000)","7,072","3,863","1,618","925","524","113","25","3","0","1","0"
"서울특별시 성동구 (1120000000)","133,305","58,154","30,174","23,400","17,060","3,473","775","187","54","18","10"
"서울특별시 성동구 왕십리제2동(1120052000)","7,396","2,978","1,693","1,387","1,053","205","64","11","3","1","1"
"서울특별시 성동구 왕십리도선동(1120053500)","12,091","5,007","2,647","2,247","1,730","346","80","27","5","1","1"
"서울특별시 성동구 마장동(1120054000)","10,905","5,246","2,363","1,650","1,271","270","80","11","9","2","3"
"서울특별시 성동구 사근동(1120055000)","8,148","6,093","967","545","425","98","11","9","0","0","0"
"서울특별시 성동구 행당제1동(1120056000)","6,441","2,803","1,389","1,183","849","171","32","10","3","1","0"
"서울특별시 성동구 행당제2동(1120057000)","9,246","2,469","2,449","2,188","1,714","327","70","22","4","2","1"
"서울특별시 성동구 응봉동(1120058000)","5,930","1,586","1,452","1,406","1,194","222","50","11","6","2","1"
"서울특별시 성동구 금호1가동(1120059000)","6,533","2,214","1,666","1,429","970","199","42","9","3","1","0"
"서울특별시 성동구 금호2.3가동(1120061500)","9,943","3,587","2,578","2,056","1,367","282","53","15","4","1","0"
"서울특별시 성동구 금호4가동(1120062000)","6,298","2,239","1,652","1,334","864","168","32","7","2","0","0"
"서울특별시 성동구 옥수동(1120064500)","10,762","3,195","2,969","2,498","1,675","323","80","16","3","3","0"
"서울특별시 성동구 성수1가제1동(1120065000)","7,636","3,284","1,804","1,311","993","189","44","5","6","0","0"
"서울특별시 성동구 성수1가제2동(1120066000)","5,935","2,733","1,340","978","697","148","29","7","2","1","0"
"서울특별시 성동구 성수2가제1동(1120067000)","7,925","4,004","1,768","1,168","777","164","31","8","3","2","0"
"서울특별시 성동구 성수2가제3동(1120069000)","5,332","2,796","1,085","711","561","141","28","8","1","0","1"
"서울특별시 성동구 송정동(1120072000)","5,458","2,981","1,150","696","479","124","22","5","0","1","0"
"서울특별시 성동구 용답동(1120079000)","7,326","4,939","1,202","613","441","96","27","6","0","0","2"
"서울특별시 광진구 (1121500000)","169,291","83,646","35,216","25,306","19,866","4,037","910","223","61","14","12"
"서울특별시 광진구 화양동(1121571000)","18,185","14,951","1,972","688","445","91","28","8","0","1","1"
"서울특별시 광진구 군자동(1121573000)","11,400","7,019","2,049","1,326","784","163","43","11","3","1","1"
"서울특별시 광진구 중곡제1동(1121574000)","8,504","4,698","1,893","1,072","656","145","30","10","0","0","0"
"서울특별시 광진구 중곡제2동(1121575000)","10,656","5,132","2,530","1,580","1,097","244","58","10","4","1","0"
"서울특별시 광진구 중곡제3동(1121576000)","8,513","4,365","2,070","1,120","755","172","20","8","3","0","0"
"서울특별시 광진구 중곡제4동(1121577000)","13,122","5,336","3,364","2,330","1,620","362","87","18","3","1","1"
"서울특별시 광진구 능동(1121578000)","6,406","3,773","1,304","722","452","113","35","6","1","0","0"
"서울특별시 광진구 광장동(1121581000)","11,814","2,263","2,103","3,100","3,574","605","127","27","11","2","2"
"서울특별시 광진구 자양제1동(1121582000)","11,913","6,559","2,488","1,497","1,083","232","41","8","3","2","0"
"서울특별시 광진구 자양제2동(1121583000)","10,887","4,298","2,610","2,051","1,501","326","73","22","5","1","0"
"서울특별시 광진구 자양제3동(1121584000)","11,009","3,197","2,606","2,423","2,244","397","99","28","11","4","0"
"서울특별시 광진구 자양제4동(1121584700)","10,209","5,897","2,147","1,209","742","160","42","10","1","0","1"
"서울특별시 광진구 구의제1동(1121585000)","13,077","7,478","2,662","1,547","1,089","243","47","7","2","0","2"
"서울특별시 광진구 구의제2동(1121586000)","11,517","4,366","2,724","2,183","1,730","388","86","31","5","1","3"
"서울특별시 광진구 구의제3동(1121587000)","12,079","4,314","2,694","2,458","2,094","396","94","19","9","0","1"
"서울특별시 동대문구 (1123000000)","169,873","84,547","35,506","25,446","18,777","4,363","933","217","57","19","8"
"서울특별시 동대문구 용신동(1123053600)","20,172","12,368","3,674","2,200","1,521","319","70","17","2","1","0"
"서울특별시 동대문구 제기동(1123054500)","13,450","7,697","2,670","1,639","1,084","276","62","15","4","2","1"
"서울특별시 동대문구 전농제1동(1123056000)","14,752","7,461","3,175","2,185","1,495","345","59","24","6","1","1"
"서울특별시 동대문구 전농제2동(1123057000)","7,557","2,337","1,952","1,603","1,287","299","67","9","1","1","1"
"서울특별시 동대문구 답십리제1동(1123060000)","12,852","5,324","2,768","2,447","1,783","423","73","23","9","2","0"
"서울특별시 동대문구 답십리제2동(1123061000)","12,521","4,695","3,229","2,401","1,695","382","95","16","7","1","0"
"서울특별시 동대문구 장안제1동(1123065000)","18,514","8,461","4,210","3,046","2,127","534","96","28","9","3","0"
"서울특별시 동대문구 장안제2동(1123066000)","14,127","5,198","3,278","2,797","2,228","474","121","22","4","2","3"
"서울특별시 동대문구 청량리동(1123070500)","9,704","4,882","2,299","1,333","901","223","53","10","3","0","0"
"서울특별시 동대문구 회기동(1123071000)","6,719","4,705","928","522","442","93","22","4","2","0","1"
"서울특별시 동대문구 휘경제1동(1123072000)","7,783","4,663","1,290","905","711","167","38","7","1","1","0"
"서울특별시 동대문구 휘경제2동(1123073000)","12,231","6,470","2,238","1,721","1,402","317","62","16","3","1","1"
"서울특별시 동대문구 이문제1동(1123074000)","10,767","6,956","1,724","1,039","794","192","45","11","3","3","0"
"서울특별시 동대문구 이문제2동(1123075000)","8,724","3,330","2,071","1,608","1,307","319","70","15","3","1","0"
"서울특별시 중랑구 (1126000000)","187,413","83,492","45,637","30,591","21,598","4,854","955","221","39","17","9"
"서울특별시 중랑구 면목제2동(1126052000)","12,222","5,946","2,880","1,869","1,194","266","48","11","7","1","0"
"서울특별시 중랑구 면목제4동(1126054000)","8,931","3,888","2,245","1,479","1,019","241","46","13","0","0","0"
"서울특별시 중랑구 면목제5동(1126055000)","6,451","2,209","1,674","1,394","946","191","26","9","1","1","0"
"서울특별시 중랑구 면목본동(1126056500)","17,740","9,164","4,160","2,501","1,520","321","57","11","4","1","1"
"서울특별시 중랑구 면목제7동(1126057000)","10,552","4,686","2,649","1,749","1,175","233","48","8","3","1","0"
"서울특별시 중랑구 면목제3.8동(1126057500)","12,626","6,207","3,160","1,767","1,189","231","57","13","2","0","0"
"서울특별시 중랑구 상봉제1동(1126058000)","10,151","3,413","2,593","2,103","1,661","309","54","16","0","2","0"
"서울특별시 중랑구 상봉제2동(1126059000)","12,336","7,717","2,445","1,300","687","142","33","10","0","1","1"
"서울특별시 중랑구 중화제1동(1126060000)","8,991","3,611","2,385","1,624","1,069","244","42","13","2","1","0"
"서울특별시 중랑구 중화제2동(1126061000)","13,623","7,454","3,142","1,725","1,018","221","49","9","2","1","2"
"서울특별시 중랑구 묵제1동(1126062000)","14,995","5,609","3,546","2,837","2,300","553","113","29","1","6","1"
"서울특별시 중랑구 묵제2동(1126063000)","9,256","4,270","2,368","1,423","934","211","43","5","2","0","0"
"서울특별시 중랑구 망우본동(1126065500)","17,585","8,253","4,079","2,719","1,986","448","75","20","4","0","1"
"서울특별시 중랑구 망우제3동(1126066000)","8,208","3,948","2,040","1,252","744","178","38","5","2","1","0"
"서울특별시 중랑구 신내1동(1126068000)","14,788","3,924","3,856","3,082","2,901","803","172","40","7","1","2"
"서울특별시 중랑구 신내2동(1126069000)","8,958","3,193","2,415","1,767","1,255","262","54","9","2","0","1"
"서울특별시 성북구 (1129000000)","197,082","82,026","44,110","34,810","28,171","6,184","1,341","304","81","25","30"
"서울특별시 성북구 성북동(1129052500)","8,164","4,043","1,831","1,163","810","233","55","16","8","0","5"
"서울특별시 성북구 삼선동(1129055500)","11,471","5,920","2,325","1,557","1,275","288","80","20","5","0","1"
"서울특별시 성북구 동선동(1129057500)","9,573","6,537","1,518","796","554","130","29","5","2","1","1"
"서울특별시 성북구 돈암제1동(1129058000)","6,043","1,872","1,646","1,254","1,000","207","50","10","1","2","1"
"서울특별시 성북구 돈암제2동(1129059000)","8,512","1,745","2,004","2,145","2,016","452","113","26","6","2","3"
"서울특별시 성북구 안암동(1129060000)","9,723","6,870","1,388","756","557","116","27","6","1","1","1"
"서울특별시 성북구 보문동(1129061000)","8,114","3,910","1,743","1,254","957","203","32","12","1","1","1"
"서울특별시 성북구 정릉제1동(1129062000)","7,374","2,342","1,695","1,648","1,303","287","76","16","2","3","2"
"서울특별시 성북구 정릉제2동(1129063000)","9,877","3,431","2,544","2,014","1,469","310","75","26","7","0","1"
"서울특별시 성북구 정릉제3동(1129064000)","8,120","4,606","1,670","974","648","163","43","8","2","2","4"
"서울특별시 성북구 정릉제4동(1129065000)","10,807","3,937","2,743","2,107","1,571","336","82","21","7","2","1"
"서울특별시 성북구 길음제1동(1129066000)","12,430","2,553","2,578","3,108","3,402","632","122","18","7","4","6"
"서울특별시 성북구 길음제2동(1129068500)","8,601","2,513","1,950","1,948","1,735","364","76","11","4","0","0"
"서울특별시 성북구 종암동(1129070500)","17,153","6,840","3,867","3,119","2,579","611","101","25","10","1","0"
"서울특별시 성북구 월곡제1동(1129071500)","10,842","3,502","2,660","2,271","1,875","423","85","21","3","1","1"
"서울특별시 성북구 월곡제2동(1129072500)","9,648","4,808","2,037","1,391","1,076","261","53","15","6","1","0"
"서울특별시 성북구 장위제1동(1129076000)","10,719","4,086","2,672","1,941","1,575","356","72","14","1","2","0"
"서울특별시 성북구 장위제2동(1129077000)","6,635","2,972","1,721","1,086","636","161","48","9","1","1","0"
"서울특별시 성북구 장위제3동(1129078000)","6,482","2,131","1,395","1,391","1,269","236","48","7","4","1","0"
"서울특별시 성북구 석관동(1129081000)","16,794","7,408","4,123","2,887","1,864","415","74","18","3","0","2"
"서울특별시 강북구 (1130500000)","144,313","65,435","35,336","23,047","15,842","3,644","791","150","36","17","15"
"서울특별시 강북구 삼양동(1130553400)","10,927","4,655","2,734","1,866","1,285","298","72","11","4","2","0"
"서울특별시 강북구 미아동(1130553500)","11,608","6,386","2,537","1,480","907","226","54","8","7","2","1"
"서울특별시 강북구 송중동(1130554500)","13,996","6,229","3,314","2,333","1,638","375","82","17","2","3","3"
"서울특별시 강북구 송천동(1130555500)","13,361","6,583","3,313","1,875","1,275","257","46","9","2","0","1"
"서울특별시 강북구 삼각산동(1130557500)","11,506","2,698","2,610","2,772","2,719","567","105","26","8","1","0"
"서울특별시 강북구 번1동(1130559500)","10,374","6,009","2,176","1,245","748","154","37","4","0","1","0"
"서울특별시 강북구 번2동(1130560300)","7,510","3,172","2,136","1,254","708","187","43","7","1","0","2"
"서울특별시 강북구 번3동(1130560800)","7,424","2,605","2,244","1,361","930","227","48","8","1","0","0"
"서울특별시 강북구 수유1동(1130561500)","10,479","5,160","2,561","1,519","935","229","58","9","2","2","4"
"서울특별시 강북구 수유2동(1130562500)","9,847","3,976","2,642","1,732","1,135","287","61","10","1","2","1"
"서울특별시 강북구 수유3동(1130563500)","13,367","7,973","2,671","1,570","895","206","38","9","2","2","1"
"서울특별시 강북구 우이동(1130564500)","9,604","3,906","2,620","1,632","1,121","254","55","11","4","1","0"
"서울특별시 강북구 인수동(1130566000)","14,310","6,083","3,778","2,408","1,546","377","92","21","2","1","2"
"서울특별시 도봉구 (1132000000)","138,356","49,922","36,182","26,914","19,708","4,404","915","212","63","28","8"
"서울특별시 도봉구 창제1동(1132051100)","10,982","4,151","2,753","2,082","1,625","295","60","11","2","2","1"
"서울특별시 도봉구 창제2동(1132051200)","12,591","4,349","3,416","2,531","1,760","410","83","29","9","3","1"
"서울특별시 도봉구 창제3동(1132051300)","6,477","2,698","1,738","1,080","736","180","31","10","4","0","0"
"서울특별시 도봉구 창제4동(1132051400)","10,560","3,072","2,608","2,400","2,004","380","72","15","7","1","1"
"서울특별시 도봉구 창제5동(1132051500)","10,271","3,308","2,682","2,164","1,672","339","79","15","8","4","0"
"서울특별시 도봉구 도봉제1동(1132052100)","10,303","4,644","2,789","1,628","944","224","57","11","5","1","0"
"서울특별시 도봉구 도봉제2동(1132052200)","11,753","4,208","3,245","2,285","1,552","350","83","22","4","4","0"
"서울특별시 도봉구 쌍문제1동(1132066000)","9,403","3,424","2,531","1,826","1,192","330","76","18","3","3","0"
"서울특별시 도봉구 쌍문제2동(1132067000)","8,543","3,341","2,338","1,542","1,026","229","51","10","4","0","2"
"서울특별시 도봉구 쌍문제3동(1132068000)","8,207","3,644","2,018","1,396","895","211","31","11","1","0","0"
"서울특별시 도봉구 쌍문제4동(1132068100)","7,086","1,713","1,801","1,714","1,514","282","52","8","2","0","0"
"서울특별시 도봉구 방학제1동(1132069000)","12,963","5,259","3,175","2,257","1,729","426","90","17","4","5","1"
"서울특별시 도봉구 방학제2동(1132070000)","9,299","4,022","2,423","1,554","976","250","57","12","3","2","0"
"서울특별시 도봉구 방학제3동(1132071000)","9,918","2,089","2,665","2,455","2,083","498","93","23","7","3","2"
"서울특별시 노원구 (1135000000)","217,540","76,674","52,413","42,908","36,722","7,157","1,268","277","80","23","18"
"서울특별시 노원구 월계1동(1135056000)","10,030","4,546","2,209","1,591","1,307","327","37","10","3","0","0"
"서울특별시 노원구 월계2동(1135057000)","11,791","4,426","3,166","2,155","1,620","342","69","9","2","1","1"
"서울특별시 노원구 월계3동(1135058000)","12,892","4,392","3,571","2,671","1,776","372","89","13","5","2","1"
"서울특별시 노원구 공릉1동(1135059500)","18,534","9,330","3,839","2,719","2,080","447","99","15","2","3","0"
"서울특별시 노원구 공릉2동(1135060000)","17,768","6,429","3,684","3,555","3,328","630","109","20","9","2","2"
"서울특별시 노원구 하계1동(1135061100)","12,035","5,132","2,451","2,005","2,004","353","63","18","5","2","2"
"서울특별시 노원구 하계2동(1135061200)","8,190","1,924","1,944","1,974","1,963","322","47","14","1","1","0"
"서울특별시 노원구 중계본동(1135061900)","8,244","1,827","1,493","1,871","2,401","546","84","18","3","1","0"
"서울특별시 노원구 중계1동(1135062100)","8,917","1,488","1,482","2,408","3,008","451","54","15","11","0","0"
"서울특별시 노원구 중계4동(1135062400)","8,252","2,805","2,003","1,579","1,486","301","57","13","6","1","1"
"서울특별시 노원구 중계2.3동(1135062500)","15,107","5,463","4,180","2,843","2,180","376","48","14","1","1","1"
"서울특별시 노원구 상계1동(1135063000)","15,665","4,857","4,125","3,286","2,618","611","129","25","9","0","5"
"서울특별시 노원구 상계2동(1135064000)","8,563","3,342","1,804","1,629","1,428","270","70","14","5","1","0"
"서울특별시 노원구 상계3.4동(1135066500)","11,662","4,677","3,036","1,976","1,479","380","89","17","7","1","0"
"서울특별시 노원구 상계5동(1135067000)","10,951","4,333","2,853","1,982","1,391","324","52","12","2","1","1"
"서울특별시 노원구 상계6.7동(1135069500)","13,783","4,683","3,483","2,879","2,272","372","69","19","3","1","2"
"서울특별시 노원구 상계8동(1135070000)","9,162","2,443","2,600","2,205","1,605","268","27","9","1","2","2"
"서울특별시 노원구 상계9동(1135071000)","8,344","2,405","2,330","1,870","1,448","249","32","7","1","2","0"
"서울특별시 노원구 상계10동(1135072000)","7,650","2,172","2,160","1,710","1,328","216","44","15","4","1","0"
"서울특별시 은평구 (1138000000)","213,876","85,908","52,590","38,249","28,440","6,772","1,490","291","83","28","25"
"서울특별시 은평구 녹번동(1138051000)","17,663","7,622","4,453","3,063","1,991","407","99","20","7","1","0"
"서울특별시 은평구 불광제1동(1138052000)","17,753","7,104","4,627","3,236","2,174","471","112","22","4","3","0"
"서울특별시 은평구 불광제2동(1138053000)","14,027","6,886","3,392","2,128","1,226","310","71","10","4","0","0"
"서울특별시 은평구 갈현제1동(1138055100)","8,555","4,027","2,068","1,329","888","187","43","11","2","0","0"
"서울특별시 은평구 갈현제2동(1138055200)","12,632","4,760","3,300","2,379","1,690","407","76","10","5","2","3"
"서울특별시 은평구 구산동(1138056000)","13,422","4,694","3,496","2,627","1,962","495","112","25","3","2","6"
"서울특별시 은평구 대조동(1138057000)","14,497","7,897","3,185","1,852","1,217","257","69","12","5","2","1"
"서울특별시 은평구 응암제1동(1138058000)","15,048","6,087","3,670","2,587","2,101","483","84","18","6","5","7"
"서울특별시 은평구 응암제2동(1138059000)","11,249","3,282","2,687","2,671","2,072","408","94","21","9","2","3"
"서울특별시 은평구 응암제3동(1138060000)","12,568","6,294","3,062","1,785","1,065","277","67","10","6","1","1"
"서울특별시 은평구 역촌동(1138062500)","20,816","8,457","5,239","3,774","2,611","584","106","32","9","4","0"
"서울특별시 은평구 신사제1동(1138063100)","11,986","4,357","3,158","2,382","1,617","372","77","17","3","3","0"
"서울특별시 은평구 신사제2동(1138063200)","8,736","3,289","2,278","1,617","1,203","258","74","12","3","0","2"
"서울특별시 은평구 증산동(1138064000)","8,003","2,873","2,023","1,426","1,216","379","65","15","5","1","0"
"서울특별시 은평구 수색동(1138065000)","5,553","1,822","1,416","1,136","889","232","48","9","1","0","0"
"서울특별시 은평구 진관동(1138069000)","21,368","6,457","4,536","4,257","4,518","1,245","293","47","11","2","2"
"서울특별시 서대문구 (1141000000)","145,797","65,136","32,118","24,402","18,818","4,132","870","236","53","23","9"
"서울특별시 서대문구 천연동(1141052000)","7,682","3,092","1,801","1,455","1,050","222","47","10","2","2","1"
"서울특별시 서대문구 북아현동(1141055500)","7,071","2,783","1,594","1,441","1,041","170","32","9","1","0","0"
"서울특별시 서대문구 충현동(1141056500)","10,074","5,109","2,057","1,423","1,140","282","47","13","1","1","1"
"서울특별시 서대문구 신촌동(1141058500)","14,688","11,636","1,611","744","513","130","40","5","5","2","2"
"서울특별시 서대문구 연희동(1141061500)","18,631","10,406","3,658","2,337","1,660","442","89","23","10","5","1"
"서울특별시 서대문구 홍제제1동(1141062000)","10,819","4,018","2,673","2,085","1,579","365","68","22","7","1","1"
"서울특별시 서대문구 홍제제3동(1141064000)","8,026","3,047","2,049","1,540","1,082","242","50","12","4","0","0"
"서울특별시 서대문구 홍제제2동(1141065500)","5,737","1,912","1,495","1,196","899","188","35","9","1","1","1"
"서울특별시 서대문구 홍은제1동(1141066000)","9,806","3,467","2,433","1,961","1,496","345","79","17","6","2","0"
"서울특별시 서대문구 홍은제2동(1141068500)","12,480","5,196","3,048","2,140","1,637","329","92","31","4","3","0"
"서울특별시 서대문구 남가좌제1동(1141069000)","6,062","1,318","1,302","1,554","1,502","289","69","22","4","2","0"
"서울특별시 서대문구 남가좌제2동(1141070000)","13,303","5,426","2,939","2,402","2,024","407","82","18","3","2","0"
"서울특별시 서대문구 북가좌제1동(1141071000)","6,847","1,703","1,749","1,591","1,410","308","61","19","4","2","0"
"서울특별시 서대문구 북가좌제2동(1141072000)","14,571","6,023","3,709","2,533","1,785","413","79","26","1","0","2"
"서울특별시 마포구 (1144000000)","180,084","86,480","37,984","28,051","21,749","4,540","937","243","67","21","12"
"서울특별시 마포구 아현동(1144055500)","10,757","3,367","2,604","2,526","1,882","282","73","21","0","2","0"
"서울특별시 마포구 공덕동(1144056500)","18,613","9,198","3,962","2,815","2,078","437","94","25","4","0","0"
"서울특별시 마포구 도화동(1144058500)","9,329","3,652","2,090","1,825","1,364","310","66","18","1","2","1"
"서울특별시 마포구 용강동(1144059000)","9,297","3,541","1,925","1,898","1,541","300","65","19","5","2","1"
"서울특별시 마포구 대흥동(1144060000)","8,748","5,675","1,443","811","655","136","17","7","1","1","2"
"서울특별시 마포구 염리동(1144061000)","7,777","3,393","1,576","1,346","1,205","210","32","10","3","1","1"
"서울특별시 마포구 신수동(1144063000)","10,014","3,979","2,212","1,890","1,560","289","65","15","3","1","0"
"서울특별시 마포구 서강동(1144065500)","12,156","5,906","2,317","2,017","1,552","272","66","18","6","1","1"
"서울특별시 마포구 서교동(1144066000)","15,402","10,307","2,597","1,339","889","197","55","10","5","2","1"
"서울특별시 마포구 합정동(1144068000)","9,259","5,150","2,061","1,150","699","146","36","13","2","1","1"
"서울특별시 마포구 망원제1동(1144069000)","10,185","5,175","2,388","1,355","979","227","46","11","4","0","0"
"서울특별시 마포구 망원제2동(1144070000)","8,431","3,391","2,140","1,417","1,172","247","50","9","3","2","0"
"서울특별시 마포구 연남동(1144071000)","8,520","5,139","1,708","888","600","144","26","8","3","2","2"
"서울특별시 마포구 성산제1동(1144072000)","9,437","4,599","2,150","1,380","976","248","57","17","8","2","0"
"서울특별시 마포구 성산제2동(1144073000)","19,467","9,399","4,146","2,993","2,300","500","95","24","9","0","1"
"서울특별시 마포구 상암동(1144074000)","12,692","4,609","2,665","2,401","2,297","595","94","18","10","2","1"
"서울특별시 양천구 (1147000000)","181,187","57,835","41,944","37,864","34,706","7,045","1,353","283","98","33","26"
"서울특별시 양천구 목1동(1147051000)","10,358","1,711","1,917","2,917","3,147","523","108","23","9","3","0"
"서울특별시 양천구 목2동(1147052000)","13,364","5,320","3,170","2,439","1,923","392","88","19","7","3","3"
"서울특별시 양천구 목3동(1147053000)","10,090","4,111","2,522","1,845","1,286","239","63","17","4","1","2"
"서울특별시 양천구 목4동(1147054000)","10,070","3,326","2,045","2,042","2,123","425","83","18","7","0","1"
"서울특별시 양천구 목5동(1147055000)","13,369","1,782","2,491","3,746","4,401","752","139","39","10","7","2"
"서울특별시 양천구 신월1동(1147056000)","10,292","4,940","2,505","1,620","939","230","47","9","1","1","0"
"서울특별시 양천구 신월2동(1147057000)","8,482","2,681","2,175","1,739","1,427","353","77","17","9","1","3"
"서울특별시 양천구 신월3동(1147058000)","7,854","4,152","1,787","1,005","662","200","37","5","2","0","4"
"서울특별시 양천구 신월4동(1147059000)","6,872","1,733","1,797","1,602","1,338","319","66","12","2","2","1"
"서울특별시 양천구 신월5동(1147060000)","6,435","2,455","1,618","1,187","879","228","53","12","3","0","0"
"서울특별시 양천구 신월6동(1147061000)","5,337","1,286","1,357","1,319","1,112","228","31","4","0","0","0"
"서울특별시 양천구 신월7동(1147061100)","9,049","3,511","2,655","1,617","999","217","38","9","3","0","0"
"서울특별시 양천구 신정1동(1147062000)","6,979","1,419","1,317","1,743","2,040","377","61","19","0","2","1"
"서울특별시 양천구 신정2동(1147063000)","6,868","1,603","1,388","1,521","1,902","395","45","7","4","1","2"
