"행정구역","2022년12월_전체세대","2022년12월_1인세대","2022년12월_2인세대","2022년12월_3인세대","2022년12월_4인세대","2022년12월_5인세대","2022년12월_6인세대","2022년12월_7인세대","2022년12월_8인세대","2022년12월_9인세대","2022년12월_10인이상세대"
"전국  (1000000000)","23,705,814","9,724,256","5,744,486","4,010,553","3,250,715","776,259","151,290","34,162","8,817","2,760","2,516"
"서울특별시  (1100000000)","4,446,296","1,952,606","987,812","746,253","593,592","129,242","27,546","6,433","1,815","580","417"
"서울특별시 종로구 (1111000000)","72,524","37,680","14,450","10,269","7,570","1,927","461","116","33","7","11"
"서울특별시 종로구 청운효자동(1111051500)","5,129","1,952","1,194","991","732","197","47","9","6","1","0"
"서울특별시 종로구 사직동(1111053000)","4,570","2,317","918","663","509","110","31","18","2","0","2"
"서울특별시 종로구 삼청동(1111054000)","1,148","563","258","141","125","42","14","5","0","0","0"
"서울특별시 종로구 부암동(1111055000)","4,144","1,642","979","771","542","155","40","10","3","0","2"
"서울특별시 종로구 평창동(1111056000)","7,270","2,321","1,808","1,467","1,223","330","87","20","12","0","2"
"서울특별시 종로구 무악동(1111057000)","3,017","701","738","706","683","157","21","9","0","1","1"
"서울특별시 종로구 교남동(1111058000)","4,386","1,641","1,056","898","630","131","20","8","0","2","0"
"서울특별시 종로구 가회동(1111060000)","1,931","917","418","314","203","56","16","5","0","1","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,926","3,932","496","269","171","42","11","3","2","0","0"
"서울특별시 종로구 종로5.6가동(1111063000)","3,511","2,514","489","282","179","38","7","2","0","0","0"
"서울특별시 종로구 이화동(1111064000)","4,301","2,762","765","414","270","65","18","4","1","2","0"
"서울특별시 종로구 혜화동(1111065000)","9,195","5,679","1,484","1,004","766","191","53","11","4","0","3"
"서울특별시 종로구 창신제1동(1111067000)","2,706","1,623","558","287","166","54","14","4","0","0","0"
"서울특별시 종로구 창신제2동(1111068000)","3,995","1,996","953","545","372","99","26","2","2","0","0"
"서울특별시 종로구 창신제3동(1111069000)","2,777","944","701","594","398","115","22","2","1","0","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,970","1,485","670","431","292","71","19","2","0","0","0"
"서울특별시 종로구 숭인제2동(1111071000)","6,548","4,691","965","492","309","74","15","2","0","0","0"
"서울특별시 중구 (1114000000)","63,139","32,954","13,867","8,673","5,782","1,376","342","97","27","4","17"
