"행정구역","2021년12월_전체세대","2021년12월_1인세대","2021년12월_2인세대","2021년12월_3인세대","2021년12월_4인세대","2021년12월_5인세대","2021년12월_6인세대","2021년12월_7인세대","2021년12월_8인세대","2021년12월_9인세대","2021년12월_10인이상세대"
"전국  (1000000000)","23,472,895","9,461,695","5,613,943","3,998,644","3,369,721","817,794","160,409","36,020","9,249","2,748","2,672"
"서울특별시  (1100000000)","4,426,007","1,906,690","978,393","750,762","616,312","135,649","28,628","6,705","1,848","581","439"
"서울특별시 종로구 (1111000000)","73,494","37,857","14,520","10,424","7,973","2,050","475","133","40","10","12"
"서울특별시 종로구 청운효자동(1111051500)","5,241","2,000","1,175","1,011","778","210","47","11","7","2","0"
"서울특별시 종로구 사직동(1111053000)","4,696","2,356","955","697","520","115","32","17","1","0","3"
"서울특별시 종로구 삼청동(1111054000)","1,229","625","252","164","131","36","16","5","0","0","0"
"서울특별시 종로구 부암동(1111055000)","4,265","1,689","990","772","594","166","38","10","2","2","2"
"서울특별시 종로구 평창동(1111056000)","7,509","2,457","1,838","1,479","1,277","341","79","20","13","3","2"
"서울특별시 종로구 무악동(1111057000)","3,069","703","718","741","696","174","22","13","0","1","1"
"서울특별시 종로구 교남동(1111058000)","4,458","1,656","1,068","903","661","132","29","6","2","1","0"
"서울특별시 종로구 가회동(1111060000)","1,991","944","432","313","215","57","22","5","2","0","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","5,247","4,186","524","282","188","46","14","5","2","0","0"
"서울특별시 종로구 종로5.6가동(1111063000)","3,385","2,421","493","257","169","37","6","2","0","0","0"
"서울특별시 종로구 이화동(1111064000)","4,298","2,730","735","441","293","72","17","7","2","1","0"
"서울특별시 종로구 혜화동(1111065000)","9,187","5,596","1,486","1,009","815","201","56","17","4","0","3"
"서울특별시 종로구 창신제1동(1111067000)","2,823","1,691","560","311","182","59","16","4","0","0","0"
"서울특별시 종로구 창신제2동(1111068000)","4,043","1,994","965","533","405","116","24","4","2","0","0"
"서울특별시 종로구 창신제3동(1111069000)","2,798","928","707","602","407","129","23","0","2","0","0"
"서울특별시 종로구 숭인제1동(1111070000)","2,970","1,466","677","421","304","78","21","2","1","0","0"
"서울특별시 종로구 숭인제2동(1111071000)","6,285","4,415","945","488","338","81","13","5","0","0","0"
"서울특별시 중구 (1114000000)","63,519","32,752","13,879","8,846","6,080","1,453","371","91","24","6","17"
"서울특별시 중구 소공동(1114052000)","1,296","788","233","177","78","13","3","2","1","0","1"
"서울특별시 중구 회현동(1114054000)","2,748","1,702","464","287","217","56","12","8","1","1","0"
"서울특별시 중구 명동(1114055000)","1,539","1,077","223","128","79","20","4","3","2","0","3"
"서울특별시 중구 필동(1114057000)","2,479","1,656","399","234","137","42","9","0","1","0","1"
"서울특별시 중구 장충동(1114058000)","2,750","1,799","446","240","187","54","18","2","1","1","2"
"서울특별시 중구 광희동(1114059000)","3,390","2,338","543","298","148","41","19","1","1","0","1"
"서울특별시 중구 을지로동(1114060500)","1,345","1,096","160","51","25","10","2","1","0","0","0"
"서울특별시 중구 신당동(1114061500)","4,729","3,063","876","431","264","70","18","5","2","0","0"
"서울특별시 중구 다산동(1114062500)","6,886","3,240","1,672","1,019","733","170","36","11","3","0","2"
"서울특별시 중구 약수동(1114063500)","7,834","3,117","2,147","1,401","891","202","59","11","2","0","4"
"서울특별시 중구 청구동(1114064500)","6,287","2,513","1,629","1,096","802","183","52","6","3","2","1"
"서울특별시 중구 신당제5동(1114065000)","5,387","2,750","1,204","745","521","130","28","5","3","1","0"
"서울특별시 중구 동화동(1114066500)","4,090","1,173","1,044","854","751","197","50","16","4","0","1"
"서울특별시 중구 황학동(1114067000)","7,088","4,001","1,546","876","522","107","25","9","0","1","1"
"서울특별시 중구 중림동(1114068000)","5,671","2,439","1,293","1,009","725","158","36","11","0","0","0"
"서울특별시 용산구 (1117000000)","111,036","54,174","23,871","16,680","12,390","2,952","708","174","53","16","18"
"서울특별시 용산구 후암동(1117051000)","8,465","4,224","1,817","1,262","861","227","46","16","6","2","4"
"서울특별시 용산구 용산2가동(1117052000)","5,247","2,883","1,196","652","388","102","20","5","1","0","0"
"서울특별시 용산구 남영동(1117053000)","5,189","3,990","618","294","226","38","15","7","0","0","1"
"서울특별시 용산구 청파동(1117055500)","11,080","6,761","2,060","1,152","826","215","47","13","1","1","4"
