"행정구역","2023년12월_계_총세대수","2023년12월_계_연령구간세대수","2023년12월_계_0~9세","2023년12월_계_10~19세","2023년12월_계_20~29세","2023년12월_계_30~39세","2023년12월_계_40~49세","2023년12월_계_50~59세","2023년12월_계_60~69세","2023년12월_계_70~79세","2023년12월_계_80~89세","2023년12월_계_90~99세","2023년12월_계_100세 이상","2023년12월_남_총세대수","2023년12월_남_연령구간세대수","2023년12월_남_0~9세","2023년12월_남_10~19세","2023년12월_남_20~29세","2023년12월_남_30~39세","2023년12월_남_40~49세","2023년12월_남_50~59세","2023년12월_남_60~69세","2023년12월_남_70~79세","2023년12월_남_80~89세","2023년12월_남_90~99세","2023년12월_남_100세 이상","2023년12월_여_총세대수","2023년12월_여_연령구간세대수","2023년12월_여_0~9세","2023년12월_여_10~19세","2023년12월_여_20~29세","2023년12월_여_30~39세","2023년12월_여_40~49세","2023년12월_여_50~59세","2023년12월_여_60~69세","2023년12월_여_70~79세","2023년12월_여_80~89세","2023년12월_여_90~99세","2023년12월_여_100세 이상"
"인천광역시 서구 석남3동(2826056100)","2,784","2,784","1","4","251","372","352","570","682","335","188","27","2","1,469","1,469","0","3","136","237","240","325","343","135","45","5","0","1,315","1,315","1","1","115","135","112","245","339","200","143","22","2"
"인천광역시 서구 신현원창동(2826057500)","4,007","4,007","2","4","298","630","563","868","998","411","201","32","0","2,174","2,174","2","2","182","414","393","538","458","132","47","6","0","1,833","1,833","0","2","116","216","170","330","540","279","154","26","0"
"인천광역시 서구 가좌1동(2826058000)","3,118","3,118","6","4","340","428","451","646","730","310","184","17","2","1,842","1,842","4","2","182","287","344","436","435","118","32","2","0","1,276","1,276","2","2","158","141","107","210","295","192","152","15","2"
"인천광역시 서구 가좌2동(2826059000)","2,031","2,031","0","1","128","276","232","380","494","280","204","35","1","871","871","0","1","61","173","137","185","191","72","42","9","0","1,160","1,160","0","0","67","103","95","195","303","208","162","26","1"
"인천광역시 서구 가좌3동(2826060000)","3,486","3,486","4","5","339","434","428","689","848","434","259","44","2","1,871","1,871","2","2","170","289","294","441","455","149","61","8","0","1,615","1,615","2","3","169","145","134","248","393","285","198","36","2"
"인천광역시 서구 가좌4동(2826061000)","2,245","2,245","2","1","143","381","300","475","496","255","165","25","2","1,296","1,296","1","1","85","261","208","314","268","113","44","1","0","949","949","1","0","58","120","92","161","228","142","121","24","2"
"인천광역시 서구 검단동(2826068000)","6,267","6,267","2","9","748","1,211","1,081","1,293","1,102","483","290","47","1","3,844","3,844","1","2","451","859","799","874","615","177","60","6","0","2,423","2,423","1","7","297","352","282","419","487","306","230","41","1"
"인천광역시 서구 불로대곡동(2826069000)","3,213","3,213","1","2","291","526","599","698","571","299","199","25","2","1,887","1,887","0","1","174","369","417","469","306","103","42","5","1","1,326","1,326","1","1","117","157","182","229","265","196","157","20","1"
"인천광역시 서구 원당동(2826070000)","3,431","3,431","2","10","378","713","708","659","469","282","160","46","4","1,986","1,986","0","4","192","472","487","449","253","93","33","2","1","1,445","1,445","2","6","186","241","221","210","216","189","127","44","3"
"인천광역시 서구 당하동(2826071000)","3,937","3,937","0","8","586","917","702","687","602","301","119","14","1","2,042","2,042","0","2","262","549","460","380","258","101","26","3","1","1,895","1,895","0","6","324","368","242","307","344","200","93","11","0"
