"행정구역","2025년12월_전체세대","2025년12월_1인세대","2025년12월_2인세대","2025년12월_3인세대","2025년12월_4인세대","2025년12월_5인세대","2025년12월_6인세대","2025년12월_7인세대","2025년12월_8인세대","2025년12월_9인세대","2025년12월_10인이상세대"
"전국  (1000000000)","24,300,087","10,272,573","6,150,418","4,075,321","2,959,639","671,957","128,571","29,212","7,643","2,401","2,352"
"서울특별시  (1100000000)","4,501,031","2,029,785","1,031,855","750,246","541,782","114,282","24,440","6,015","1,707","538","381"
"서울특별시 종로구 (1111000000)","72,324","38,492","14,981","9,946","6,654","1,681","410","97","40","10","13"
"서울특별시 종로구 청운효자동(1111051500)","4,873","1,857","1,215","942","624","172","46","10","4","2","1"
"서울특별시 종로구 사직동(1111053000)","4,584","2,369","946","667","456","110","18","11","3","0","4"
"서울특별시 종로구 삼청동(1111054000)","1,065","526","246","139","109","31","12","1","0","1","0"
"서울특별시 종로구 부암동(1111055000)","4,109","1,670","1,036","733","475","138","39","12","4","1","1"
"서울특별시 종로구 평창동(1111056000)","7,096","2,224","1,912","1,438","1,064","348","76","21","11","1","1"
"서울특별시 종로구 무악동(1111057000)","2,959","704","778","709","590","142","25","9","0","1","1"
"서울특별시 종로구 교남동(1111058000)","4,314","1,665","1,080","832","605","108","15","6","2","1","0"
"서울특별시 종로구 가회동(1111060000)","1,829","902","398","292","174","42","14","5","1","0","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,874","3,905","491","273","148","39","12","4","2","0","0"
"서울특별시 종로구 종로5.6가동(1111063000)","3,711","2,711","534","268","157","32","6","3","0","0","0"
"서울특별시 종로구 이화동(1111064000)","4,436","2,937","788","403","236","52","13","4","2","1","0"
"서울특별시 종로구 혜화동(1111065000)","9,164","5,785","1,494","988","679","152","51","4","6","1","4"
"서울특별시 종로구 창신제1동(1111067000)","2,643","1,611","556","284","138","40","10","3","1","0","0"
