GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물연면적,건축물구조코드,건축물구조명,주요용도코드,주요용도명,건물높이,지상층수,지하층수,허가일자,사용승인일자,건물연령,연령대구분코드,연령대구분명,연령대5계급코드,연령대5계급명,데이터기준일자,원천시도시군구코드
1997174870814479304000000000,2824510100100010004,2824510100,인천광역시 계양구 효성동,1,일반,1-4,106011100,1,일반건축물,2,일반건축물대장,인천효성동초등학교,다목적강당,1652.910000000,21,철근콘크리트구조,10000,교육연구시설,0.000000000,3,,2024-12-13,2026-02-03,1,01,10세미만,005,5세미만,2026-08-05,28245
1997174817834478805400000000,2824510100100010004,2824510100,인천광역시 계양구 효성동,1,일반,1-4,106011101,1,일반건축물,2,일반건축물대장,인천효성동초등학교,"",2366.400000000,21,철근콘크리트구조,10000,교육연구시설,0.000000000,5,"","",1997-08-30,30,04,30대,035,35세미만,2026-08-05,28245
0000174911694479450600000000,2824510100100010004,2824510100,인천광역시 계양구 효성동,1,일반,1-4,106011102,1,일반건축물,2,일반건축물대장,인천효성동초등학교,"",37.500000000,12,블록구조,10000,교육연구시설,0.000000000,1,"","","",2028,11,100세이상,105,100세이상,2026-08-05,28245
2003174875304477831400000000,2824510100100090000,2824510100,인천광역시 계양구 효성동,1,일반,9,106011107,1,일반건축물,2,일반건축물대장,사택,"",321.540000000,21,철근콘크리트구조,01000,단독주택,8.800000000,2,0,2002-09-23,2003-01-27,24,03,20대,025,25세미만,2026-08-05,28245
1979174846084477870200000000,2824510100100110002,2824510100,인천광역시 계양구 효성동,1,일반,11-2,106011109,1,일반건축물,2,일반건축물대장,,"",62.980000000,11,벽돌구조,01000,단독주택,0.000000000,1,1,1978-12-09,1979-03-12,48,05,40대,050,50세미만,2026-08-05,28245
1979174821574477741300000000,2824510100100110005,2824510100,인천광역시 계양구 효성동,1,일반,11-5,106011112,1,일반건축물,2,일반건축물대장,,A동,60.900000000,11,벽돌구조,01000,단독주택,0.000000000,1,1,1978-12-09,1979-04-03,48,05,40대,050,50세미만,2026-08-05,28245
1979174828684477735100000000,2824510100100110005,2824510100,인천광역시 계양구 효성동,1,일반,11-5,106011113,1,일반건축물,2,일반건축물대장,,B동,60.900000000,11,벽돌구조,01000,단독주택,0.000000000,1,1,1978-12-09,1979-04-03,48,05,40대,050,50세미만,2026-08-05,28245
1990174813194477463900000000,2824510100100110007,2824510100,인천광역시 계양구 효성동,1,일반,11-7,106011115,1,일반건축물,2,일반건축물대장,,"",299.800000000,11,벽돌구조,01000,단독주택,7.500000000,2,1,1990-04-28,1990-11-02,37,04,30대,040,40세미만,2026-08-05,28245
1979174795114477168900000000,2824510100100110009,2824510100,인천광역시 계양구 효성동,1,일반,11-9,106011117,1,일반건축물,2,일반건축물대장,,"",59.540000000,11,벽돌구조,01000,단독주택,0.000000000,1,1,1978-12-09,1979-04-04,48,05,40대,050,50세미만,2026-08-05,28245
1979174802184477188200000000,2824510100100110009,2824510100,인천광역시 계양구 효성동,1,일반,11-9,106011118,1,일반건축물,2,일반건축물대장,,"",64.630000000,11,벽돌구조,01000,단독주택,0.000000000,1,1,1978-12-09,1979-04-04,48,05,40대,050,50세미만,2026-08-05,28245
