GIS건물통합식별번호,고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,지번,건물식별번호,집합건물구분코드,집합건물구분,대장종류코드,대장종류,건물명,건물동명,건물연면적,건축물구조코드,건축물구조명,주요용도코드,주요용도명,건물높이,지상층수,지하층수,허가일자,사용승인일자,건물연령,연령대구분코드,연령대구분명,연령대5계급코드,연령대5계급명,데이터기준일자,원천시도시군구코드
1978286735054102562200000000,2872035028200140000,2872035028,인천광역시 옹진군 덕적면 굴업리,2,산,14,106315315,1,일반건축물,2,일반건축물대장,,다동,17.500000000,12,블록구조,03000,제1종근린생활시설,0.000000000,1,"","","",49,05,40대,050,50세미만,2026-08-05,28720
1994286686594102634900000000,2872035028200160000,2872035028,인천광역시 옹진군 덕적면 굴업리,2,산,16,106315316,1,일반건축물,2,일반건축물대장,,"",96.000000000,11,벽돌구조,01000,단독주택,0.000000000,1,"","",1994-06-04,33,04,30대,035,35세미만,2026-08-05,28720
1977286741114102405600000000,2872035028200140000,2872035028,인천광역시 옹진군 덕적면 굴업리,2,산,14,106315314,1,일반건축물,2,일반건축물대장,,가동,57.000000000,12,블록구조,01000,단독주택,0.000000000,1,"","","",50,06,50대,055,55세미만,2026-08-05,28720
1977286653974103063400000000,2872035028200170000,2872035028,인천광역시 옹진군 덕적면 굴업리,2,산,17,106315317,1,일반건축물,2,일반건축물대장,,"",56.000000000,12,블록구조,01000,단독주택,0.000000000,1,"","","",50,06,50대,055,55세미만,2026-08-05,28720
2017109128794103906600000000,2872035028200180001,2872035028,인천광역시 옹진군 덕적면 굴업리,2,산,18-1,10631100198942,1,일반건축물,2,일반건축물대장,,주건축물제3동,79.200000000,32,경량철골구조,01000,단독주택,4.400000000,1,0,2017-04-12,2017-09-21,10,02,10대,015,15세미만,2026-08-05,28720
2010109125124101458000000000,2872035028200040001,2872035028,인천광역시 옹진군 덕적면 굴업리,2,산,4-1,10631100189471,1,일반건축물,2,일반건축물대장,굴업선착장 공중화장실,"",12.600000000,32,경량철골구조,03000,제1종근린생활시설,3.700000000,1,"","",2010-12-31,17,02,10대,020,20세미만,2026-08-05,28720
0000331219794192444700000000,2872036022104960095,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,496-95,10631100175735,1,일반건축물,2,일반건축물대장,영흥중학교,"",7229.980000000,21,철근콘크리트구조,10000,교육연구시설,16.300000000,4,"","",2010-01-25,17,02,10대,020,20세미만,2026-08-05,28720
0000331144424191637100000000,2872036022104960095,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,496-95,10631100175736,1,일반건축물,2,일반건축물대장,영흥중학교,"",719.040000000,21,철근콘크리트구조,10000,교육연구시설,,3,"","","",2028,11,100세이상,105,100세이상,2026-08-05,28720
2017153735404183921100000000,2872036022104780055,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,478-55,10631100198100,1,일반건축물,2,일반건축물대장,,주건축물제1동,196.600000000,21,철근콘크리트구조,01000,단독주택,7.860000000,2,0,2016-09-19,2017-07-04,10,02,10대,015,15세미만,2026-08-05,28720
2010331048974193246100000000,2872036022104810030,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,481-30,10631100177129,1,일반건축물,2,일반건축물대장,,"",167.040000000,51,일반목구조,01000,단독주택,9.545000000,2,0,2010-05-04,2010-10-29,17,02,10대,020,20세미만,2026-08-05,28720
2010330988984193298100000000,2872036022104810026,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,481-26,10631100176431,1,일반건축물,2,일반건축물대장,,"",327.185000000,21,철근콘크리트구조,01000,단독주택,3.750000000,1,"",2009-07-29,2010-07-15,17,02,10대,020,20세미만,2026-08-05,28720
2016153719934186907200000000,2872036022105020008,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,502-8,10631100194279,1,일반건축물,2,일반건축물대장,,주건축물제1동,139.600000000,21,철근콘크리트구조,01000,단독주택,7.630000000,2,0,2015-07-13,2016-05-03,11,02,10대,015,15세미만,2026-08-05,28720
2009331235284197897800000000,2872036022109770005,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,977-5,10631100174569,1,일반건축물,2,일반건축물대장,,"",60.000000000,32,경량철골구조,18000,창고시설,4.420000000,1,0,2007-11-28,2009-08-28,18,02,10대,020,20세미만,2026-08-05,28720
1999331675114186581500000000,2872036022101800005,2872036022,인천광역시 옹진군 영흥면 내리,1,일반,180-5,106315882,1,일반건축물,2,일반건축물대장,,"",192.000000000,11,벽돌구조,03000,제1종근린생활시설,4.200000000,1,"","",1999-12-20,28,03,20대,030,30세미만,2026-08-05,28720
