기준 일자,정류소 명,정류소 번호,정류소 ID,권역,행정동 명,X 좌표,위도,Y 좌표,경도
20260228,(구)주안2동치안센터,37302,163000302,미추홀구,주안2동,170842.16,126.671236,439486.142,37.4570777
20260228,(주)경동세라믹스,89146,168001146,서구,오류왕길동,166087.8384,126.6169776,450837.1724,37.55918552
20260228,(주)경인양행앞,42097,168000097,서구,석남2동,170465.3876,126.6667891,444178.4131,37.49934246
20260228,(주)경인양행앞,42096,168000096,서구,가좌1동,170343.637,126.6654136,444145.8737,37.49904538
20260228,(주)대한특수금속,39050,165000050,남동구,논현고잔동,172879.0446,126.6944906,433147.5666,37.40002943
20260228,(주)두남,39135,165000135,남동구,남촌도림동,173648.1398,126.7031061,435119.4794,37.41781861
20260228,(주)세모입구(린나이코리아),40893,166000893,부평구,십정1동,172057.7617,126.6849083,441242.8151,37.47294275
20260228,(주)세모입구(린나이코리아),37585,163000585,미추홀구,주안5동,172037.8604,126.6846847,441205.1449,37.47260274
20260228,(주)스킨이데아,89389,168001389,서구,원창동,166107.5171,126.617495,444459.0933,37.50172142
20260228,(주)스킨이데아,89388,168001388,서구,원창동,166105.6856,126.6174734,444479.2189,37.50190268
20260228,(주)우리김치,39133,165000133,남동구,남촌도림동,174029.316,126.7074206,434874.596,37.415623
20260228,(주)우리김치,39134,165000134,남동구,남촌도림동,174004.1223,126.7071348,434909.4757,37.41593655
20260228,(주)창원,39029,165000029,남동구,논현고잔동,173299.1435,126.6992605,432446.33,37.3937235
20260228,(주)창원,39030,165000030,남동구,논현고잔동,173277.9157,126.699019,432494.3646,37.39415568
20260228,(주)하나금속,39124,165000124,남동구,남촌도림동,173368.2535,126.6999463,435067.2735,37.41734021
20260228,17사단.다임메가타운,40895,166000895,부평구,일신동,177506.9903,126.7464808,442195.5102,37.48167546
20260228,17사단입구,40832,166000832,부평구,일신동,177516.4788,126.746603,441707.0779,37.47727495
20260228,2001아울렛,40162,166000162,부평구,산곡3동,174496.6231,126.7124092,443245.4605,37.49105704
20260228,2001아울렛,40159,166000159,부평구,부평3동,174465.2197,126.7120553,443211.5236,37.4907504
20260228,2001아울렛,40154,166000154,부평구,산곡3동,174351.7495,126.7107737,443170.7223,37.49037963
20260228,2001아울렛부평점,40158,166000158,부평구,산곡3동,174395.6373,126.7112677,443233.7273,37.49094852
20260228,2차풍림아이원,42584,168000584,서구,검단1동,169967.4833,126.6606402,456817.6036,37.61320221
20260228,3단지,40736,166000736,부평구,산곡3동,173853.6084,126.7051474,442992.3973,37.48875895
20260228,3단지관리사무소,40107,166000107,부평구,산곡3동,173846.4972,126.705067,442990.6156,37.4887427
20260228,41번구종점,42174,168000174,서구,신현원창동,170506.952,126.6671947,445782.494,37.51379628
20260228,510번차고지,36145,162000145,동구,송현3동,169053.9093,126.6508695,443177.4657,37.49027779
20260228,540번종점,39470,165000470,남동구,만수3동,175796.4678,126.7272037,440309.9808,37.46464365
20260228,6공단사거리,37577,163000577,미추홀구,도화23동,170571.1644,126.6680982,441359.7219,37.47394984
20260228,6공단입구,37443,163000443,미추홀구,주안5동,171609.1612,126.6798502,440900.5708,37.46984547
20260228,6공단입구,37442,163000442,미추홀구,주안5동,171620.8586,126.6799835,440873.6733,37.46960348
20260228,88JC(미정차),25204,115000204,코드정보 없음,방화3동,184119.6233,126.8209974,453533.153,37.58396412
20260228,88JC(미정차),25201,115000203,코드정보 없음,방화3동,184001.445,126.8196587,453567.6892,37.58427323
20260228,8부두,35181,161000181,중구,북성동,165858.5206,126.6148029,441794.9159,37.47770853
20260228,8부두,35182,161000182,중구,북성동,165847.4217,126.6146797,441746.3363,37.47727043
20260228,BMN R&D센터,89451,168001451,서구,청라동,167045.6679,126.6280402,445891.9805,37.51466543
20260228,BMN R&D센터,89452,168001452,서구,청라동,167033.5481,126.6279038,445876.0105,37.51452111
20260228,BMX경기장,90477,169001477,강화군,송해면,153364.3518,126.4715781,472771.003,37.75623852
20260228,BMX경기장,90459,169001459,강화군,송해면,153357.5138,126.4715002,472776.1889,37.75628489
20260228,CJ인천2공장,35591,161000591,중구,신흥동,166915.1104,126.6269444,437422.8496,37.43835532
20260228,CJ인천2공장,35592,161000592,중구,신흥동,166941.3444,126.6272414,437412.0473,37.43825893
20260228,E편한세상,42726,168000726,서구,불로대곡동,172871.5328,126.693511,457355.3935,37.61813795
20260228,E편한세상,42649,168000649,서구,불로대곡동,172868.6356,126.6934765,457399.3944,37.6185343
20260228,E편한세상,42453,168000453,서구,원당동,173512.2131,126.7008556,454930.9236,37.59631292
20260228,GM물류센터,40568,166000568,부평구,청천2동,174314.6817,126.7102485,446200.1413,37.51767326
20260228,GS25편의점,36142,162000142,동구,송현1동2동,167741.9826,126.6360823,442107.1988,37.48058992
20260228,GS내리주유소,44147,170000147,옹진군,영흥면,154257.0879,126.485152,417460.0002,37.25795323
20260228,GS내리주유소,44130,170000130,옹진군,영흥면,154230.6588,126.484853,417477.6805,37.25811123
20260228,GS칼텍스,89220,168001220,서구,신현원창동,168271.806,126.6419451,445053.3916,37.50715296
20260228,GS칼텍스,89224,168001224,서구,신현원창동,168127.587,126.6403155,445018.4937,37.50683356
20260228,GS칼텍스,35168,161000168,중구,북성동,164830.1909,126.6031719,441910.3986,37.47871039
20260228,GS칼텍스,35557,161000557,중구,북성동,164707.0914,126.6017822,441868.7375,37.47833033
20260228,GS칼텍스주유소,39814,165000814,남동구,만수4동,176630.3909,126.7366717,438993.6039,37.45280466
20260228,HD현대인프라코어,36081,162000081,동구,화수2동,167149.7465,126.6293604,442692.6718,37.48584403
20260228,HD현대인프라코어,36083,162000083,동구,화수2동,167176.9898,126.6296671,442724.1274,37.48612841
20260228,HD현대인프라코어후문,36077,162000077,동구,만석동,166668.7005,126.6239158,442819.5714,37.48697011
20260228,HD현대인프라코어후문,36078,162000078,동구,만석동,166742.1228,126.624745,442839.2672,37.48715022
20260228,JC회관,37383,163000383,미추홀구,주안1동,171169.3773,126.6749035,440270.1874,37.46415215
20260228,JST기술연구소,89491,168001491,서구,오류동,165989.4172,126.6156641,455131.7833,37.59787488
20260228,JST기술연구소,89492,168001492,서구,오류동,166013.4698,126.6159366,455127.5869,37.59783796
20260228,KCC아파트,42391,168000391,서구,당하동,171455.6291,126.6776012,454089.4663,37.58867003
20260228,KG모빌리티인천서비스센터,36144,162000144,동구,송현3동,168884.8478,126.648971,442868.2204,37.48748586
