연번,배경일련번호,지하철코드,화면표현_코드,지하철역_풀네임,지하철역_이름,이력필드,법정동_코드,법정동_이름,행정동_코드,행정동_이름,X좌표,Y좌표
55,1664490,160418,160418,송도달빛축제공원역,송도달빛축제공원역,U,2818510600,송도동,2818583000,송도2동,14095930.84,4496008.517
56,,999999,999999,운연역,운연역,,2820010600,운연동,2820065000,장수서창동,14110819.35,4500571.289
57,,999999,999999,인천대공원역,인천대공원역,,2820010400,장수동,2820065000,장수서창동,14110060.05,4501807.381
58,,999999,999999,남동구청역,남동구청역,,2820010300,만수동,2820058300,만수6동,14108267.56,4501738.722
59,,999999,999999,만수역,만수역,,2820010300,만수동,2820058200,만수5동,14107706.75,4502723.564
60,,999999,999999,모래내시장역,모래내시장역,,2820010100,구월동,2820052200,구월4동,14106366.27,4502832.991
61,,999999,999999,석천사거리역,석천사거리역,,2820010100,구월동,2820052000,구월2동,14105340.39,4502969.774
62,,999999,999999,인천시청역,인천시청역,,2820010200,간석동,2820053000,간석1동,14104355.55,4502983.453
63,,999999,999999,석바위시장역,석바위시장역,,2817710500,주안동,2817767000,주안6동,14103329.67,4503106.558
64,,999999,999999,시민공원역,시민공원역,,2817710500,주안동,2817762000,주안1동,14102084.94,4503202.306
65,,999999,999999,주안역,주안역,,2817710500,주안동,2817766000,주안5동,14101852.41,4504146.113
66,,999999,999999,주안국가산단역,주안국가산단역,,2826011200,가좌동,2826060000,가좌3동,14102098.62,4505377.165
67,,999999,999999,가재울역,가재울역,,2826011200,가좌동,2826061000,가좌4동,14102372.19,4506813.393
68,,999999,999999,인천가좌역,인천가좌역,,2826011200,가좌동,2826058000,가좌1동,14101417.48,4507621.641
69,,999999,999999,서부여성회관역,서부여성회관역,,2826011000,석남동,2826056100,석남3동,14101495.92,4509067.126
70,,999999,999999,석남역,석남역,,2826011000,석남동,2826055000,석남1동,14101535.14,4510047.591
71,,999999,999999,가정중앙시장역,가정중앙시장역,,2826010800,가정동,2826054200,가정1동,14101573.72,4511506.779
72,,999999,999999,가정역,가정역,,2826010800,가정동,2826054200,가정1동,14101424.11,4512511.283
73,,999999,999999,서구청역,서구청역,,2826010700,심곡동,2826053000,연희동,14101595.09,4515161.465
74,,999999,999999,아시아드경기장역,아시아드경기장역,,2826010600,연희동,2826053000,연희동,14101595.09,4516251.459
75,,999999,999999,검바위역,검바위역,,2826010300,검암동,2826051500,검암경서동,14101680.58,4517597.922
76,,999999,999999,검암역,검암역,,2826010300,검암동,2826051500,검암경서동,14101466.85,4518687.916
77,,999999,999999,독정역,독정역,,2826011400,당하동,2826071000,당하동,14101530.97,4520953.394
78,,999999,999999,완정역,완정역,,2826011400,당하동,2826071000,당하동,14101173.42,4522060.383
79,,999999,999999,마전역,마전역,,2826011300,마전동,2826073000,마전동,14100543.12,4522751.961
80,,999999,999999,검단사거리역,검단사거리역,,2826012000,왕길동,2826072000,오류왕길동,14099343.8,4523312.227
81,,999999,999999,왕길역,왕길역,,2826012000,왕길동,2826072000,오류왕길동,14097750.55,4522358.024
82,,999999,999999,검단오류역,검단오류역,,2826011900,오류동,2826072000,오류왕길동,14096166.05,4522366.779
83,,999999,999999,계양역,계양역,,2824511100,귤현동,2824571000,계양1동,14108205.89,4519105.425
84,,999999,999999,검암역,검암역,,2826010200,시천동,2826051500,검암경서동,14101243.32,4518754.314
85,,999999,999999,청라국제도시역,청라국제도시역,,2826012200,청라동,2826053900,청라3동,14095796.12,4516945.522
86,,999999,999999,영종역,영종역,,2811014800,운북동,2811062000,영종동,14084638.44,4510725.744
87,,999999,999999,운서역,운서역,,2811014700,운서동,2811062800,운서동,14081233.99,4508018.925
88,,999999,999999,공항화물청사역,공항화물청사역,,2811014700,운서동,2811062800,운서동,14079416.31,4503293.926
89,,999999,999999,인천공항1터미널역,인천공항1터미널역,,2811014700,운서동,2811062800,운서동,14076625.2,4501662.382
90,,999999,999999,인천공항2터미널역,인천공항2터미널역,,2811014700,운서동,2811062800,운서동,14074496.5,4504666.708
91,,999999,999999,인천공항1터미널역,인천공항1터미널역,,2811014700,운서동,2811062800,운서동,14076594.36,4501704.974
92,,999999,999999,장기주차장역,장기주차장역,,2811014700,운서동,2811062800,운서동,14076967.41,4501165.96
93,,999999,999999,합동청사역,합동청사역,,2811014700,운서동,2811062800,운서동,14077312.56,4500685.695
94,,999999,999999,파라다이스시티역,파라다이스시티역,,2811014700,운서동,2811062800,운서동,14077450.61,4500214.241
95,,999999,999999,워터파크역,워터파크역,,2811014700,운서동,2811063000,용유동,14074585.18,4499096.559
96,,999999,999999,용유역,용유역,,2811014700,운서동,2811063000,용유동,14073416.09,4498479.703
97,1502107,160409,160409,산곡역,산곡역,U,2823710300,산곡동,2823757000,산곡1동,14104514.73,4510244.757
98,1502107,160409,160409,석남역,석남역,U,2826011000,석남동,2826055000,석남1동,14101392.67,4509883.123
99,,999999,999999,아라역,아라역,,2826011400,당하동,2826074000,아라동,14105667.03,4521982.252
101,,999999,999999,신검단중앙역,신검단중앙역,,2826011500,원당동,2826070000,원당동,14104007.7,4523446.814
102,,999999,999999,검단호수공원역,검단호수공원역,,2826012100,불로동,2826069000,불로대곡동,14102854.88,4523408.047
