정류장명,정류장 번호,승차인원수,하차인원수,승차인원수(카드),하차인원수(카드),승차인원수(현금),일평균 승하차인원수
HD현대인프라코어후문,36078,2946,718,2946,718,0,122.13
JC회관,37383,4370,4204,4370,4204,0,285.8
JST기술연구소,89491,6,2133,6,2133,0,71.3
JST기술연구소,89492,1027,31,1027,31,0,35.27
KCC아파트,42391,2105,1265,2105,1265,0,112.33
KG모빌리티인천서비스센터,36144,98,1332,98,1332,0,47.67
KG스틸,42008,2282,3990,2282,3990,0,209.07
KTX광명역4번출구,58057,3,26,3,26,0,0.97
KT부평지사,40381,10050,7169,10050,7169,0,573.97
KT부평지사,40384,8176,12901,8176,12901,0,702.57
KT서인천지사,42932,1614,2523,1614,2523,0,137.9
KT서인천지사,42933,1509,842,1509,842,0,78.37
KT송도지점,38568,688,416,688,416,0,36.8
KT온수분국,43523,525,426,525,426,0,31.7
KT인천공항지사,35095,272,319,272,319,0,19.7
KT인천공항지사,35109,5722,3856,5721,3856,1,319.27
KT인천지사,37415,7076,5079,7076,5079,0,405.17
KT인천지사,39319,8135,5695,8135,5695,0,461
KT중동지사,55081,852,216,852,216,0,35.6
KT중동지사,55082,229,1193,229,1193,0,47.4
LG마그나,89029,5057,2481,5057,2481,0,251.27
LG마그나,89264,4219,5840,4219,5840,0,335.3
LG물류센터,39043,629,157,629,157,0,26.2
LG물류센터,39044,123,675,123,675,0,26.6
LG전자(주),42297,5755,5275,5755,5275,0,367.67
LH1단지,35494,8565,4165,8563,4165,2,424.33
LH49단지행복주택아파트,35768,756,1659,756,1659,0,80.5
LH49단지행복주택아파트,35769,2191,873,2191,873,0,102.13
LH7단지,35451,3708,2602,3708,2602,0,210.33
LH7단지,35452,2622,4166,2622,4166,0,226.27
LH검단사업본부,42448,7507,7132,7507,7132,0,487.97
LH검단사업본부,42449,5660,6928,5660,6928,0,419.6
LH미추홀3단지,37222,3579,6790,3579,6790,0,345.63
LH미추홀3단지,37635,6491,3178,6491,3178,0,322.3
NKG물류센터,89212,364,276,364,276,0,21.33
SH글로벌,41083,1040,329,1040,329,0,45.63
SH글로벌,41084,523,2096,523,2096,0,87.3
