facility_id,facility_name,district,address,observation_count,source_count,source_datasets,category_details,observation_ids,match_rule
fac_7d5e5668a5f07200,연수제일주야간보호센터,연수구,"인천광역시 연수구 학나래로6번길 6 6층 (선학동, 학나래로 6번길 3 6층 (연수병원))",2,1,nhis_ltc,재가노인복지시설 방문요양 | 재가노인복지시설 주야간보호,obs_6544febbaa234775 | obs_69b92fa79562c0d4,exact_normalized_district_name_address
fac_7d60d3238cc73190,성모재가요양복지센터,부평구,"인천광역시 부평구 부평북로 467, 204호 (삼산동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_4a90c590fe981052 | obs_534a76f4c43cafc8 | obs_c7c41eaf9e2e8494 | obs_e5857341b6e46fbb,exact_normalized_district_name_address
fac_7d8743333d2f2eee,똑똑한 기억지킴 주간보호,강화군,인천광역시 강화군 송해면 전망대로468번길 12-41 (송해면),4,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양 | 재가노인복지시설 주야간보호 | 주야간보호내치매전담1실,obs_8c9e15845e553bf3 | obs_a0a7f934863f4b4f | obs_eb61804fe8109fad | obs_fffcd16a8111bd2b,exact_normalized_district_name_address
fac_7ddf63f6a301cc12,백세재가복지센터,미추홀구,"인천광역시 미추홀구 인주대로408번길 16, 1층 (주안동)",5,3,incheon_elderly | michuhol_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_0af91c039e7fdb19 | obs_722e5c1d4895f553 | obs_75a64e25ce0063fb | obs_d8b55c759ba50b7d | obs_fc9cb4c581d55c54,exact_normalized_district_name_address
fac_7df6f8adc53ce080,가희노인복지센터,미추홀구,"인천광역시 미추홀구 미추홀대로614번길 14, 202호 (주안동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_4ae00c01337eebad | obs_6667404df1134691 | obs_95f0cbcac1cafa94 | obs_ef9c123272991cb4,exact_normalized_district_name_address
fac_7e2e802c37190763,한빛재가복지센터,미추홀구,인천광역시 미추홀구 한나루로490번길 85 1층 (주안동),2,1,nhis_ltc,재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_9fd6cd0d95ef1e76 | obs_d21c014cbea6a695,exact_normalized_district_name_address
fac_7e326bffdc9c1877,마리아재가복지센터,남동구,"인천광역시 남동구 문화서로3번길 18, 102호 (구월동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_12296f5a050ef48d | obs_49cb776201f8a959 | obs_8a5ef70734107249 | obs_e1ceaf1e9d971c94,exact_normalized_district_name_address
fac_7eb65138a7189e74,인천재가노인지원서비스센터,미추홀구,인천광역시 미추홀구 매소홀로386번길 32 (학익동),5,4,incheon_elderly | incheon_welfare | michuhol_elderly | nhis_ltc,방문요양 | 재가노인복지시설 | 재가노인복지시설 방문요양 | 재가노인지원서비스,obs_14929f04daff12c0 | obs_17b936858e552d65 | obs_24ae054e6dfe94cc | obs_6b7d03c80292199d | obs_8de7baecb9a6de40,exact_normalized_district_name_address
fac_7ed8013e366eecb0,섬김재가복지센터,계양구,인천광역시 계양구 계양산로 212 303호(임학동),4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,obs_282f2a57f074dc35 | obs_2cd3210eaafa3f14 | obs_bd037bc0141525bc | obs_ee9838e435324498,exact_normalized_district_name_address
fac_7ede28a2a3a83986,아인방문요양센터,미추홀구,"인천광역시 미추홀구 경인로 365, 1층 (주안동)",4,2,incheon_elderly | nhis_ltc,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,obs_1c9e60bf105003f9 | obs_769e98b3a1b1912f | obs_79d1e81a4087357f | obs_995c8f98b541c2ba,exact_normalized_district_name_address
fac_7ef1a5466630d253,MH 엄마손 실버복지용구,남동구,"인천광역시 남동구 백범로 203, 103~104호(만수동)",2,2,incheon_elderly | nhis_ltc,복지용구 | 재가노인복지시설 복지용구,obs_15c2298137097520 | obs_1eb539255b985a9b,exact_normalized_district_name_address
fac_7f5492b13e38b538,인성요양원,남동구,인천광역시 남동구 경인로 599 (간석동),2,2,incheon_elderly | nhis_ltc,노인요양시설 | 노인요양시설(개정법),obs_540bbf5602eba88b | obs_f191e747b6041bb7,exact_normalized_district_name_address
