geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,current_admin_reference_date,current_district_name_20260701,current_admin_dong_codes_20260701,current_admin_dong_names_20260701,current_admin_dong_count,map_unit_status,mapping_methods,mapping_confidence,aggregation_required,metric_handling,population_reference_date,household_reference_date,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population,representative_longitude,representative_latitude,representative_point_method,bubble_metric_name,bubble_metric_label_ko,bubble_metric_value,bubble_metric_interpretation
vworld_sgis_20250630:23020510,23020510,동구,만석동,20250630,20260701,제물포구,2812558000,만석동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,6027,1852,3046,1351,674,0.307284,0.443533,0.363931,126.62413160,37.48588525,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),674,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020520,23020520,동구,화수1·화평동,20250630,20260701,제물포구,2812559000,화수1.화평동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,5112,1894,2653,1233,696,0.370501,0.464757,0.367476,126.63010414,37.48024974,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),696,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020530,23020530,동구,화수2동,20250630,20260701,제물포구,2812560000,화수2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,6548,2493,3551,1770,932,0.380727,0.498451,0.373847,126.63209382,37.48530373,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),932,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020550,23020550,동구,송현1·2동,20250630,20260701,제물포구,2812561000,송현1.2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,9341,2600,4276,1536,626,0.278343,0.359214,0.240769,126.63594205,37.47807988,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),626,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020570,23020570,동구,송현3동,20250630,20260701,제물포구,2812562000,송현3동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,2554,1040,1512,844,455,0.407204,0.558201,0.437500,126.64139760,37.48610593,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),455,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020580,23020580,동구,송림1동,20250630,20260701,제물포구,2812563000,송림1동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,6586,1207,2830,832,234,0.183268,0.293993,0.193869,126.63838273,37.47577547,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),234,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020590,23020590,동구,송림2동,20250630,20260701,제물포구,2812564000,송림2동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,1136,538,731,477,281,0.473592,0.652531,0.522305,126.64252436,37.47643401,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),281,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020600,23020600,동구,송림3·5동,20250630,20260701,제물포구,2812565000,송림3·5동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,5058,1427,2311,860,384,0.282127,0.372133,0.269096,126.64809274,37.47342796,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),384,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020610,23020610,동구,송림4동,20250630,20260701,제물포구,2812566000,송림4동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,5857,1061,2491,707,195,0.181151,0.283822,0.183789,126.66314593,37.48187886,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),195,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
vworld_sgis_20250630:23020630,23020630,동구,송림6동,20250630,20260701,제물포구,2812567000,송림6동,1,exact,unique_normalized_name,high,false,direct_geometry_join,2026-06-30,2026-07-31,7618,1833,3515,1311,512,0.240614,0.372973,0.279324,126.64817448,37.48123941,shapely_representative_point_within_polygon_wgs84,one_person_households_age_65_plus,65세 이상 1인 가구 수 (관측),512,관측된 65세 이상 1인 가구 규모이며 복지 미수급자 수 또는 고독사 위험자 수가 아님
