reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,one_person_households_age_total,one_person_households_age_male,one_person_households_age_female,one_person_age_60_plus_exact,one_person_age_70_plus_exact,one_person_age_60_plus_share_pct,one_person_age_70_plus_share_pct,one_person_age_65_plus_status,source_file
2025,2025-12,2811054000,인천광역시 중구 신흥동,인천광역시,중구,신흥동,requires_2026_07_01_reform_crosswalk,3081,1715,1366,1348,744,43.7520,24.1480,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811056000,인천광역시 중구 도원동,인천광역시,중구,도원동,requires_2026_07_01_reform_crosswalk,1065,556,509,693,398,65.0704,37.3709,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811057000,인천광역시 중구 율목동,인천광역시,중구,율목동,requires_2026_07_01_reform_crosswalk,1123,639,484,672,372,59.8397,33.1256,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811058500,인천광역시 중구 동인천동,인천광역시,중구,동인천동,requires_2026_07_01_reform_crosswalk,2086,1216,870,1189,662,56.9990,31.7354,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811061500,인천광역시 중구 개항동,인천광역시,중구,개항동,requires_2026_07_01_reform_crosswalk,2135,1156,979,1090,620,51.0539,29.0398,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811062000,인천광역시 중구 영종동,인천광역시,중구,영종동,requires_2026_07_01_reform_crosswalk,7140,4720,2420,2019,805,28.2773,11.2745,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811062200,인천광역시 중구 영종1동,인천광역시,중구,영종1동,requires_2026_07_01_reform_crosswalk,4478,2378,2100,982,446,21.9294,9.9598,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811062300,인천광역시 중구 영종2동,인천광역시,중구,영종2동,requires_2026_07_01_reform_crosswalk,3107,1701,1406,519,231,16.7042,7.4348,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811062800,인천광역시 중구 운서동,인천광역시,중구,운서동,requires_2026_07_01_reform_crosswalk,15027,8577,6450,1630,740,10.8471,4.9245,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2811063000,인천광역시 중구 용유동,인천광역시,중구,용유동,requires_2026_07_01_reform_crosswalk,1451,871,580,888,394,61.1992,27.1537,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814051000,인천광역시 동구 만석동,인천광역시,동구,만석동,requires_2026_07_01_reform_crosswalk,1345,720,625,806,430,59.9257,31.9703,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814052500,인천광역시 동구 화수1.화평동,인천광역시,동구,화수1.화평동,requires_2026_07_01_reform_crosswalk,1246,644,602,837,494,67.1750,39.6469,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814053000,인천광역시 동구 화수2동,인천광역시,동구,화수2동,requires_2026_07_01_reform_crosswalk,1759,820,939,1084,679,61.6259,38.6015,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814055500,인천광역시 동구 송현1.2동,인천광역시,동구,송현1.2동,requires_2026_07_01_reform_crosswalk,1529,718,811,741,448,48.4630,29.3002,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814057000,인천광역시 동구 송현3동,인천광역시,동구,송현3동,requires_2026_07_01_reform_crosswalk,854,460,394,541,324,63.3489,37.9391,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814058000,인천광역시 동구 송림1동,인천광역시,동구,송림1동,requires_2026_07_01_reform_crosswalk,831,393,438,295,166,35.4994,19.9759,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814059000,인천광역시 동구 송림2동,인천광역시,동구,송림2동,requires_2026_07_01_reform_crosswalk,470,238,232,337,192,71.7021,40.8511,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814060500,인천광역시 동구 송림3.5동,인천광역시,동구,송림3.5동,requires_2026_07_01_reform_crosswalk,855,419,436,480,266,56.1404,31.1111,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814061000,인천광역시 동구 송림4동,인천광역시,동구,송림4동,requires_2026_07_01_reform_crosswalk,694,425,269,260,124,37.4640,17.8674,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814063000,인천광역시 동구 송림6동,인천광역시,동구,송림6동,requires_2026_07_01_reform_crosswalk,863,396,467,531,317,61.5295,36.7323,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2814064000,인천광역시 동구 금창동,인천광역시,동구,금창동,requires_2026_07_01_reform_crosswalk,662,315,347,446,270,67.3716,40.7855,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2817751000,인천광역시 미추홀구 숭의2동,인천광역시,미추홀구,숭의2동,pre_reform_code_preserved_district_not_reorganized,2932,1480,1452,1464,795,49.9318,27.1146,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2817752000,인천광역시 미추홀구 숭의1.3동,인천광역시,미추홀구,숭의1.3동,pre_reform_code_preserved_district_not_reorganized,3500,1860,1640,1321,667,37.7429,19.0571,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
2025,2025-12,2817753000,인천광역시 미추홀구 숭의4동,인천광역시,미추홀구,숭의4동,pre_reform_code_preserved_district_not_reorganized,3476,1774,1702,1727,909,49.6835,26.1507,not_calculated_source_aggregates_ages_60_to_69,jumin_one_person_age_202512.csv
