reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,population_total,population_male,population_female,population_age_60_plus_exact,population_age_70_plus_exact,population_age_60_plus_share_pct,population_age_70_plus_share_pct,population_age_65_plus_status,source_file
2025,2025-12,2814064000,인천광역시 동구 금창동,인천광역시,동구,금창동,requires_2026_07_01_reform_crosswalk,2136,1067,1069,1122,636,52.5281,29.7753,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817751000,인천광역시 미추홀구 숭의2동,인천광역시,미추홀구,숭의2동,pre_reform_code_preserved_district_not_reorganized,13379,6703,6676,4470,2175,33.4106,16.2568,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817752000,인천광역시 미추홀구 숭의1.3동,인천광역시,미추홀구,숭의1.3동,pre_reform_code_preserved_district_not_reorganized,17415,8665,8750,4625,2058,26.5576,11.8174,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817753000,인천광역시 미추홀구 숭의4동,인천광역시,미추홀구,숭의4동,pre_reform_code_preserved_district_not_reorganized,16459,8242,8217,5200,2555,31.5937,15.5234,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817754000,인천광역시 미추홀구 용현1.4동,인천광역시,미추홀구,용현1.4동,pre_reform_code_preserved_district_not_reorganized,16932,9325,7607,5652,3014,33.3806,17.8006,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817755000,인천광역시 미추홀구 용현2동,인천광역시,미추홀구,용현2동,pre_reform_code_preserved_district_not_reorganized,22592,11254,11338,5671,2856,25.1018,12.6416,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817756000,인천광역시 미추홀구 용현3동,인천광역시,미추홀구,용현3동,pre_reform_code_preserved_district_not_reorganized,6680,3549,3131,2846,1503,42.6048,22.5000,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817757000,인천광역시 미추홀구 용현5동,인천광역시,미추홀구,용현5동,pre_reform_code_preserved_district_not_reorganized,44308,22032,22276,11598,5072,26.1759,11.4471,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817758000,인천광역시 미추홀구 학익1동,인천광역시,미추홀구,학익1동,pre_reform_code_preserved_district_not_reorganized,41413,20554,20859,9338,4043,22.5485,9.7626,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817759000,인천광역시 미추홀구 학익2동,인천광역시,미추홀구,학익2동,pre_reform_code_preserved_district_not_reorganized,16833,8121,8712,5989,2948,35.5789,17.5132,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817760000,인천광역시 미추홀구 도화1동,인천광역시,미추홀구,도화1동,pre_reform_code_preserved_district_not_reorganized,20373,10137,10236,6414,3144,31.4828,15.4322,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817761000,인천광역시 미추홀구 도화2.3동,인천광역시,미추홀구,도화2.3동,pre_reform_code_preserved_district_not_reorganized,29905,15123,14782,7860,3437,26.2832,11.4931,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817762000,인천광역시 미추홀구 주안1동,인천광역시,미추홀구,주안1동,pre_reform_code_preserved_district_not_reorganized,19576,10442,9134,4462,1761,22.7932,8.9957,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817763000,인천광역시 미추홀구 주안2동,인천광역시,미추홀구,주안2동,pre_reform_code_preserved_district_not_reorganized,21602,10777,10825,6828,3336,31.6082,15.4430,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817764000,인천광역시 미추홀구 주안3동,인천광역시,미추홀구,주안3동,pre_reform_code_preserved_district_not_reorganized,12112,6057,6055,3670,1870,30.3005,15.4392,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817765000,인천광역시 미추홀구 주안4동,인천광역시,미추홀구,주안4동,pre_reform_code_preserved_district_not_reorganized,19880,9824,10056,6308,3169,31.7304,15.9406,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
2025,2025-12,2817766000,인천광역시 미추홀구 주안5동,인천광역시,미추홀구,주안5동,pre_reform_code_preserved_district_not_reorganized,19112,9584,9528,6245,2960,32.6758,15.4877,not_calculated_source_aggregates_ages_60_to_69,jumin_population_age_202512.csv
