admin_dong_code_20260701,province_name,district_name_20260701,admin_dong_name,population_reference_date,household_reference_date,population_source_admin_code_20260630,population_source_district_name_20260630,population_code_changed_at_reform,population_district_changed_at_reform,total_population,population_age_65_plus,total_households,one_person_households,one_person_households_age_65_plus,population_age_65_plus_share,one_person_household_share,age_65_plus_one_person_share_of_age_65_plus_population
2827553000,인천광역시,서해구,연희동,2026-06-30,2026-07-31,2826053000,서구,true,true,36003,8145,18437,8660,2854,0.226231,0.469708,0.350399
2827553600,인천광역시,서해구,청라1동,2026-06-30,2026-07-31,2826053600,서구,true,true,30445,2606,12099,3597,415,0.085597,0.297297,0.159248
2827553700,인천광역시,서해구,청라2동,2026-06-30,2026-07-31,2826053700,서구,true,true,47814,4868,18334,4999,750,0.101811,0.272663,0.154067
2827553900,인천광역시,서해구,청라3동,2026-06-30,2026-07-31,2826053900,서구,true,true,36919,2915,14736,4759,356,0.078957,0.322951,0.122127
2827554200,인천광역시,서해구,가정1동,2026-06-30,2026-07-31,2826054200,서구,true,true,42301,5765,18181,6023,1830,0.136285,0.331280,0.317433
2827554300,인천광역시,서해구,가정2동,2026-06-30,2026-07-31,2826054300,서구,true,true,17131,1944,7174,2175,428,0.113478,0.303178,0.220165
2827554400,인천광역시,서해구,가정3동,2026-06-30,2026-07-31,2826054400,서구,true,true,8264,1884,4112,1792,567,0.227977,0.435798,0.300955
2827555000,인천광역시,서해구,석남1동,2026-06-30,2026-07-31,2826055000,서구,true,true,19693,4978,10357,4986,1658,0.252780,0.481414,0.333065
2827556000,인천광역시,서해구,석남2동,2026-06-30,2026-07-31,2826056000,서구,true,true,11594,3219,5780,2454,902,0.277644,0.424567,0.280211
2827556100,인천광역시,서해구,석남3동,2026-06-30,2026-07-31,2826056100,서구,true,true,12747,3058,6578,3000,1073,0.239900,0.456066,0.350883
2827557500,인천광역시,서해구,신현원창동,2026-06-30,2026-07-31,2826057500,서구,true,true,28521,5850,12430,4177,1391,0.205112,0.336042,0.237778
2827558000,인천광역시,서해구,가좌1동,2026-06-30,2026-07-31,2826058000,서구,true,true,12296,2810,6590,3205,1048,0.228530,0.486343,0.372954
2827559000,인천광역시,서해구,가좌2동,2026-06-30,2026-07-31,2826059000,서구,true,true,17887,4154,7496,2144,958,0.232236,0.286019,0.230621
2827560000,인천광역시,서해구,가좌3동,2026-06-30,2026-07-31,2826060000,서구,true,true,14773,4179,7891,3754,1339,0.282881,0.475732,0.320412
2827561000,인천광역시,서해구,가좌4동,2026-06-30,2026-07-31,2826061000,서구,true,true,12133,2789,5790,2250,797,0.229869,0.388601,0.285766
2829051000,인천광역시,검단구,검단동,2026-06-30,2026-07-31,2826068000,서구,true,true,32218,5494,15761,6961,1723,0.170526,0.441660,0.313615
2829052000,인천광역시,검단구,불로대곡동,2026-06-30,2026-07-31,2826069000,서구,true,true,48409,5404,18686,4573,1180,0.111632,0.244729,0.218357
2829053000,인천광역시,검단구,원당동,2026-06-30,2026-07-31,2826070000,서구,true,true,22794,3235,10331,3953,928,0.141923,0.382635,0.286862
