source_date,mode,place_id,source_id,source_code,name,source_district,district,dong,admin_dong_code,latitude,longitude,coordinate_status,in_incheon
20250918,subway,subway:cec5b19779fc,393959,160401,간석역,남동구,남동구,간석4동,2820055100,37.4647010,126.6934233,valid_epsg3857_to_wgs84,true
20250918,subway,subway:804f83e3776b,320523,160418,부평삼거리역,남동구,남동구,간석3동,2820055000,37.4782790,126.7104773,valid_epsg3857_to_wgs84,true
20250918,subway,subway:42b0be2b8637,895360,160401,동암역,부평구,부평구,십정2동,2823769000,37.4708817,126.7028996,valid_epsg3857_to_wgs84,true
20250918,subway,subway:f2b9768d81ce,257765,160401,백운역,부평구,부평구,부평3동,2823753000,37.4833134,126.7071947,valid_epsg3857_to_wgs84,true
20250918,subway,subway:1e6ee11a1b4b,71038,160401,도원역,미추홀구,미추홀구,숭의1.3동,2817752000,37.4686168,126.6428390,valid_epsg3857_to_wgs84,true
20250918,subway,subway:73213bd230ff,444188,160418,계산역(인천하이병원),계양구,계양구,계산2동,2824561200,37.5432716,126.7285496,valid_epsg3857_to_wgs84,true
20250918,subway,subway:8b97a4ff7a29,4946489,160435,숭의역(인하대병원),미추홀구,미추홀구,용현2동,2817755000,37.4609024,126.6380987,valid_epsg3857_to_wgs84,true
20250918,subway,subway:6d7335d3b70c,858275,160401,인천역(차이나타운),중구,제물포구,북성동,2811060000,37.4763770,126.6169517,valid_epsg3857_to_wgs84,true
20250918,subway,subway:5ec9d9f055b0,738209,160418,계양역,계양구,계양구,계양1동,2824571000,37.5714532,126.7364109,valid_epsg3857_to_wgs84,true
20250918,subway,subway:372b2ca46bc2,927026,160418,임학역,계양구,계양구,계양2동,2824572000,37.5450871,126.7386700,valid_epsg3857_to_wgs84,true
20250918,subway,subway:b4e80edb6714,1502107,160409,굴포천역,부평구,부평구,갈산2동,2823764200,37.5070125,126.7314466,valid_epsg3857_to_wgs84,true
20250918,subway,subway:cc528169f50d,1664402,160418,인천대입구역(송도컨벤시아),연수구,연수구,송도2동,2818583000,37.3862089,126.6394181,valid_epsg3857_to_wgs84,true
20250918,subway,subway:715693e57442,487304,160418,부평구청역(로이문화예술실용전문학교),부평구,부평구,청천2동,2823759200,37.5084370,126.7205986,valid_epsg3857_to_wgs84,true
20250918,subway,subway:624df66f0828,91554,160401,동인천역,중구,제물포구,동인천동,2811058500,37.4754267,126.6326138,valid_epsg3857_to_wgs84,true
20250918,subway,subway:78439f7cb451,1664492,160418,센트럴파크역(포스코건설),연수구,연수구,송도2동,2818583000,37.3928200,126.6349839,valid_epsg3857_to_wgs84,true
20250918,subway,subway:2937af6313fa,810823,160418,부평역(부평힘찬병원),부평구,부평구,부평1동,2823751000,37.4904846,126.7234846,valid_epsg3857_to_wgs84,true
20250918,subway,subway:efb2ba48de02,693054,160401,부개역,부평구,부평구,부개2동,2823766000,37.4884912,126.7405652,valid_epsg3857_to_wgs84,true
20250918,subway,subway:c817fae18429,743609,160418,작전역(IS한림병원),계양구,계양구,작전2동,2824562200,37.5302910,126.7225325,valid_epsg3857_to_wgs84,true
20250918,subway,subway:e566b34401eb,1308738,160418,선학역,연수구,연수구,선학동,2818575000,37.4269631,126.6989301,valid_epsg3857_to_wgs84,true
20250918,subway,subway:72da5c68d183,1664493,160418,지식정보단지역(송도이플란트치과),연수구,연수구,송도1동,2818582000,37.3780163,126.6454259,valid_epsg3857_to_wgs84,true
20250918,subway,subway:03aee0b1ef01,1338600,160418,인천터미널역(푸른세상안과),미추홀구,미추홀구,관교동,2817770000,37.4418574,126.6996640,valid_epsg3857_to_wgs84,true
20250918,subway,subway:fb8efeb433de,1664438,160418,테크노파크역(현대프리미엄아울렛송도점),연수구,연수구,송도1동,2818582000,37.3823062,126.6564118,valid_epsg3857_to_wgs84,true
20250918,subway,subway:65989e4dcd7b,1463597,160409,부평구청역(로이문화예술실용전문학교),부평구,부평구,부평4동,2823754000,37.5074502,126.7212466,valid_epsg3857_to_wgs84,true
20250918,subway,subway:e5f58e86826b,557415,160418,귤현역,계양구,계양구,계양3동,2824573000,37.5664081,126.7425904,valid_epsg3857_to_wgs84,true
20250918,subway,subway:8904761cf3d8,281318,160418,부평시장역(한길안과병원),부평구,부평구,부평1동,2823751000,37.4984561,126.7222766,valid_epsg3857_to_wgs84,true
20250918,subway,subway:3d1ef6a72727,1106427,160418,동수역,부평구,부평구,부평2동,2823752000,37.4854132,126.7184049,valid_epsg3857_to_wgs84,true
20250918,subway,subway:961bd967d7ae,776370,160401,제물포역(인천대학교제물포캠퍼스),미추홀구,미추홀구,도화1동,2817760000,37.4668215,126.6571803,valid_epsg3857_to_wgs84,true
20250918,subway,subway:e3c22ced7d50,2266398,160435,송도역,연수구,연수구,옥련2동,2818564000,37.4297269,126.6545001,valid_epsg3857_to_wgs84,true
20250918,subway,subway:4557daf8b5b5,2249182,160435,소래포구역,남동구,남동구,논현고잔동,2820071000,37.4009748,126.7335469,valid_epsg3857_to_wgs84,true
20250918,subway,subway:bf2c4a9b58f4,943158,160418,원인재역(인천힘찬병원),연수구,연수구,연수2동,2818576200,37.4123420,126.6878438,valid_epsg3857_to_wgs84,true
20250918,subway,subway:5f9e05ca49ff,1213964,160418,간석오거리역,남동구,남동구,간석1동,2820053000,37.4669071,126.7078979,valid_epsg3857_to_wgs84,true
20250918,subway,subway:413d6a0334d7,4946479,160435,인천역,중구,제물포구,북성동,2811060000,37.4764708,126.6173964,valid_epsg3857_to_wgs84,true
20250918,subway,subway:6c13d1bb6b14,4946482,160435,신포역,중구,제물포구,신포동,2811053000,37.4684547,126.6245246,valid_epsg3857_to_wgs84,true
20250918,subway,subway:cc24b5c454cb,704034,160401,도화역,미추홀구,미추홀구,도화1동,2817760000,37.4661211,126.6687738,valid_epsg3857_to_wgs84,true
20250918,subway,subway:166802ea7a5a,2266402,160435,인천논현역,남동구,남동구,논현2동,2820070000,37.4006524,126.7225090,valid_epsg3857_to_wgs84,true
