admin_dong_code_20260701,sido_name_20260701,district_name_20260701,dong_name_20260701,created_date
2824571000,인천광역시,계양구,계양1동,19950301
2824572000,인천광역시,계양구,계양2동,19950301
2824573000,인천광역시,계양구,계양3동,20150401
2827551500,인천광역시,서해구,검암경서동,20260701
2827553000,인천광역시,서해구,연희동,20260701
2827553600,인천광역시,서해구,청라1동,20260701
2827553700,인천광역시,서해구,청라2동,20260701
2827553900,인천광역시,서해구,청라3동,20260701
2827554200,인천광역시,서해구,가정1동,20260701
2827554300,인천광역시,서해구,가정2동,20260701
2827554400,인천광역시,서해구,가정3동,20260701
2827555000,인천광역시,서해구,석남1동,20260701
2827556000,인천광역시,서해구,석남2동,20260701
2827556100,인천광역시,서해구,석남3동,20260701
2827557500,인천광역시,서해구,신현원창동,20260701
2827558000,인천광역시,서해구,가좌1동,20260701
2827559000,인천광역시,서해구,가좌2동,20260701
2827560000,인천광역시,서해구,가좌3동,20260701
2827561000,인천광역시,서해구,가좌4동,20260701
2829051000,인천광역시,검단구,검단동,20260701
2829052000,인천광역시,검단구,불로대곡동,20260701
2829053000,인천광역시,검단구,원당동,20260701
2829054000,인천광역시,검단구,당하동,20260701
2829055000,인천광역시,검단구,오류왕길동,20260701
2829056000,인천광역시,검단구,마전동,20260701
2829057000,인천광역시,검단구,아라1동,20260701
2829058000,인천광역시,검단구,아라2동,20260701
2871025000,인천광역시,강화군,강화읍,19950301
2871031000,인천광역시,강화군,선원면,19950301
2871032000,인천광역시,강화군,불은면,19950301
2871033000,인천광역시,강화군,길상면,19950301
2871034000,인천광역시,강화군,화도면,19950301
2871035000,인천광역시,강화군,양도면,19950301
2871036000,인천광역시,강화군,내가면,19950301
2871037000,인천광역시,강화군,하점면,19950301
2871038000,인천광역시,강화군,양사면,19950301
2871039000,인천광역시,강화군,송해면,19950301
2871040000,인천광역시,강화군,교동면,19950301
2871041000,인천광역시,강화군,삼산면,19950301
2871042000,인천광역시,강화군,서도면,19950301
2871042500,인천광역시,강화군,서도면볼음출장소,19950301
2872031000,인천광역시,옹진군,북도면,19950301
2872031500,인천광역시,옹진군,북도면장봉출장소,19950301
2872033000,인천광역시,옹진군,백령면,19950301
2872034000,인천광역시,옹진군,대청면,19950301
2872034500,인천광역시,옹진군,대청면소청출장소,19950301
2872035000,인천광역시,옹진군,덕적면,19950301
2872036000,인천광역시,옹진군,영흥면,19950301
2872037000,인천광역시,옹진군,자월면,19950301
2872037500,인천광역시,옹진군,자월면이작출장소,20190208
2872038000,인천광역시,옹진군,연평면,19990720
