source_date,mode,place_id,source_id,source_code,name,source_district,district,dong,admin_dong_code,latitude,longitude,coordinate_status,in_incheon
20260228,bus,bus:163000302,163000302,37302,(구)주안2동치안센터,미추홀구,미추홀구,주안2동,,37.4570777,126.6712360,valid_header_swapped,true
20260228,bus,bus:168001146,168001146,89146,(주)경동세라믹스,서구,검단구,오류왕길동,,37.5591855,126.6169776,valid_header_swapped,true
20260228,bus,bus:168000097,168000097,42097,(주)경인양행앞,서구,서해구,석남2동,,37.4993425,126.6667891,valid_header_swapped,true
20260228,bus,bus:168000096,168000096,42096,(주)경인양행앞,서구,서해구,가좌1동,,37.4990454,126.6654136,valid_header_swapped,true
20260228,bus,bus:165000050,165000050,39050,(주)대한특수금속,남동구,남동구,논현고잔동,,37.4000294,126.6944906,valid_header_swapped,true
20260228,bus,bus:165000135,165000135,39135,(주)두남,남동구,남동구,남촌도림동,,37.4178186,126.7031061,valid_header_swapped,true
20260228,bus,bus:166000893,166000893,40893,(주)세모입구(린나이코리아),부평구,부평구,십정1동,,37.4729428,126.6849083,valid_header_swapped,true
20260228,bus,bus:163000585,163000585,37585,(주)세모입구(린나이코리아),미추홀구,미추홀구,주안5동,,37.4726027,126.6846847,valid_header_swapped,true
20260228,bus,bus:168001389,168001389,89389,(주)스킨이데아,서구,서해구,원창동,,37.5017214,126.6174950,valid_header_swapped,true
20260228,bus,bus:168001388,168001388,89388,(주)스킨이데아,서구,서해구,원창동,,37.5019027,126.6174734,valid_header_swapped,true
20260228,bus,bus:165000133,165000133,39133,(주)우리김치,남동구,남동구,남촌도림동,,37.4156230,126.7074206,valid_header_swapped,true
20260228,bus,bus:165000134,165000134,39134,(주)우리김치,남동구,남동구,남촌도림동,,37.4159365,126.7071348,valid_header_swapped,true
20260228,bus,bus:165000029,165000029,39029,(주)창원,남동구,남동구,논현고잔동,,37.3937235,126.6992605,valid_header_swapped,true
20260228,bus,bus:165000030,165000030,39030,(주)창원,남동구,남동구,논현고잔동,,37.3941557,126.6990190,valid_header_swapped,true
20260228,bus,bus:165000124,165000124,39124,(주)하나금속,남동구,남동구,남촌도림동,,37.4173402,126.6999463,valid_header_swapped,true
20260228,bus,bus:166000895,166000895,40895,17사단.다임메가타운,부평구,부평구,일신동,,37.4816755,126.7464808,valid_header_swapped,true
20260228,bus,bus:166000832,166000832,40832,17사단입구,부평구,부평구,일신동,,37.4772750,126.7466030,valid_header_swapped,true
20260228,bus,bus:166000162,166000162,40162,2001아울렛,부평구,부평구,산곡3동,,37.4910570,126.7124092,valid_header_swapped,true
20260228,bus,bus:166000159,166000159,40159,2001아울렛,부평구,부평구,부평3동,,37.4907504,126.7120553,valid_header_swapped,true
20260228,bus,bus:166000154,166000154,40154,2001아울렛,부평구,부평구,산곡3동,,37.4903796,126.7107737,valid_header_swapped,true
20260228,bus,bus:166000158,166000158,40158,2001아울렛부평점,부평구,부평구,산곡3동,,37.4909485,126.7112677,valid_header_swapped,true
20260228,bus,bus:168000584,168000584,42584,2차풍림아이원,서구,검단구,검단1동,,37.6132022,126.6606402,valid_header_swapped,true
20260228,bus,bus:166000736,166000736,40736,3단지,부평구,부평구,산곡3동,,37.4887589,126.7051474,valid_header_swapped,true
20260228,bus,bus:166000107,166000107,40107,3단지관리사무소,부평구,부평구,산곡3동,,37.4887427,126.7050670,valid_header_swapped,true
