reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,households_total,one_person_households,two_person_households,three_person_households,four_person_households,five_person_households,six_person_households,seven_person_households,eight_person_households,nine_person_households,ten_plus_person_households,one_person_household_share_pct,source_file
2021,2021-12,2817757000,인천광역시 미추홀구 용현5동,인천광역시,미추홀구,용현5동,pre_reform_code_preserved_district_not_reorganized,20171,7127,4566,3855,3525,868,194,29,5,1,1,35.3329,jumin_households_size_202112.csv
2021,2021-12,2817758000,인천광역시 미추홀구 학익1동,인천광역시,미추홀구,학익1동,pre_reform_code_preserved_district_not_reorganized,12927,3933,3142,2577,2513,565,160,28,4,3,2,30.4247,jumin_households_size_202112.csv
2021,2021-12,2817759000,인천광역시 미추홀구 학익2동,인천광역시,미추홀구,학익2동,pre_reform_code_preserved_district_not_reorganized,8072,2885,2148,1538,1130,293,65,11,0,2,0,35.7408,jumin_households_size_202112.csv
2021,2021-12,2817760000,인천광역시 미추홀구 도화1동,인천광역시,미추홀구,도화1동,pre_reform_code_preserved_district_not_reorganized,11206,4732,2996,1858,1210,327,63,17,2,0,1,42.2274,jumin_households_size_202112.csv
2021,2021-12,2817761000,인천광역시 미추홀구 도화2.3동,인천광역시,미추홀구,도화2.3동,pre_reform_code_preserved_district_not_reorganized,14587,5409,3517,2860,2214,492,79,9,2,0,5,37.0810,jumin_households_size_202112.csv
2021,2021-12,2817762000,인천광역시 미추홀구 주안1동,인천광역시,미추홀구,주안1동,pre_reform_code_preserved_district_not_reorganized,11922,7051,2495,1364,778,181,40,10,2,0,1,59.1428,jumin_households_size_202112.csv
2021,2021-12,2817763000,인천광역시 미추홀구 주안2동,인천광역시,미추홀구,주안2동,pre_reform_code_preserved_district_not_reorganized,8442,3824,2287,1279,787,206,46,11,0,1,1,45.2973,jumin_households_size_202112.csv
2021,2021-12,2817764000,인천광역시 미추홀구 주안3동,인천광역시,미추홀구,주안3동,pre_reform_code_preserved_district_not_reorganized,4470,2156,1085,677,395,130,21,2,2,1,1,48.2327,jumin_households_size_202112.csv
2021,2021-12,2817765000,인천광역시 미추홀구 주안4동,인천광역시,미추홀구,주안4동,pre_reform_code_preserved_district_not_reorganized,7052,3446,1827,988,606,149,27,8,0,1,0,48.8656,jumin_households_size_202112.csv
2021,2021-12,2817766000,인천광역시 미추홀구 주안5동,인천광역시,미추홀구,주안5동,pre_reform_code_preserved_district_not_reorganized,10199,4543,2629,1632,1106,244,33,6,4,0,2,44.5436,jumin_households_size_202112.csv
2021,2021-12,2817767000,인천광역시 미추홀구 주안6동,인천광역시,미추홀구,주안6동,pre_reform_code_preserved_district_not_reorganized,10116,4138,2395,1774,1412,318,62,12,4,0,1,40.9055,jumin_households_size_202112.csv
2021,2021-12,2817768000,인천광역시 미추홀구 주안7동,인천광역시,미추홀구,주안7동,pre_reform_code_preserved_district_not_reorganized,6071,2549,1675,1018,641,143,32,7,4,1,1,41.9865,jumin_households_size_202112.csv
2021,2021-12,2817769000,인천광역시 미추홀구 주안8동,인천광역시,미추홀구,주안8동,pre_reform_code_preserved_district_not_reorganized,9351,3346,2528,1785,1325,296,52,11,5,1,2,35.7823,jumin_households_size_202112.csv
2021,2021-12,2817770000,인천광역시 미추홀구 관교동,인천광역시,미추홀구,관교동,pre_reform_code_preserved_district_not_reorganized,6326,2025,1666,1250,1013,291,63,14,3,1,0,32.0107,jumin_households_size_202112.csv
