reference_year,reference_period,source_admin_code,source_admin_name,source_sido_name,source_sigungu_name,source_eupmyeondong_name,harmonization_status,population_total,population_age_60_plus_exact,population_age_70_plus_exact,population_age_65_plus_status,households_total,one_person_households,one_person_household_share_pct,one_person_age_source_available,one_person_age_60_plus_exact,one_person_age_70_plus_exact,one_person_age_65_plus_status,source_population_file,source_households_file,source_one_person_age_file
2021,2021-12,2814063000,인천광역시 동구 송림6동,인천광역시,동구,송림6동,requires_2026_07_01_reform_crosswalk,6203,1820,845,not_calculated_source_aggregates_ages_60_to_69,2637,878,33.2954,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2814064000,인천광역시 동구 금창동,인천광역시,동구,금창동,requires_2026_07_01_reform_crosswalk,2908,1291,717,not_calculated_source_aggregates_ages_60_to_69,1537,767,49.9024,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817751000,인천광역시 미추홀구 숭의2동,인천광역시,미추홀구,숭의2동,pre_reform_code_preserved_district_not_reorganized,14726,4057,1927,not_calculated_source_aggregates_ages_60_to_69,7004,2942,42.0046,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817752000,인천광역시 미추홀구 숭의1.3동,인천광역시,미추홀구,숭의1.3동,pre_reform_code_preserved_district_not_reorganized,13855,3284,1521,not_calculated_source_aggregates_ages_60_to_69,6771,2909,42.9626,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817753000,인천광역시 미추홀구 숭의4동,인천광역시,미추홀구,숭의4동,pre_reform_code_preserved_district_not_reorganized,16409,4718,2195,not_calculated_source_aggregates_ages_60_to_69,7882,3349,42.4892,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817754000,인천광역시 미추홀구 용현1.4동,인천광역시,미추홀구,용현1.4동,pre_reform_code_preserved_district_not_reorganized,17411,5345,2649,not_calculated_source_aggregates_ages_60_to_69,10523,6594,62.6627,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817755000,인천광역시 미추홀구 용현2동,인천광역시,미추홀구,용현2동,pre_reform_code_preserved_district_not_reorganized,17948,4668,2191,not_calculated_source_aggregates_ages_60_to_69,8519,3681,43.2093,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817756000,인천광역시 미추홀구 용현3동,인천광역시,미추홀구,용현3동,pre_reform_code_preserved_district_not_reorganized,7642,2848,1421,not_calculated_source_aggregates_ages_60_to_69,4414,2509,56.8419,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817757000,인천광역시 미추홀구 용현5동,인천광역시,미추홀구,용현5동,pre_reform_code_preserved_district_not_reorganized,47690,9862,4130,not_calculated_source_aggregates_ages_60_to_69,20171,7127,35.3329,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
2021,2021-12,2817758000,인천광역시 미추홀구 학익1동,인천광역시,미추홀구,학익1동,pre_reform_code_preserved_district_not_reorganized,32105,7544,3157,not_calculated_source_aggregates_ages_60_to_69,12927,3933,30.4247,no,,,source_not_available_before_2023,jumin_population_age_202112.csv,jumin_households_size_202112.csv,
