source_date,old_admin_dong_code,old_district_name,old_dong_name,admin_dong_code_20260701,district_name_20260701,dong_name_20260701,mapping_method
2026-06-30,2818583000,연수구,송도2동,2818583000,연수구,송도2동,unique_normalized_dong_name
2026-06-30,2818584000,연수구,송도3동,2818584000,연수구,송도3동,unique_normalized_dong_name
2026-06-30,2818585000,연수구,송도4동,2818585000,연수구,송도4동,unique_normalized_dong_name
2026-06-30,2818586000,연수구,송도5동,2818586000,연수구,송도5동,unique_normalized_dong_name
2026-06-30,2820051000,남동구,구월1동,2820051000,남동구,구월1동,unique_normalized_dong_name
2026-06-30,2820052000,남동구,구월2동,2820052000,남동구,구월2동,unique_normalized_dong_name
2026-06-30,2820052100,남동구,구월3동,2820052100,남동구,구월3동,unique_normalized_dong_name
2026-06-30,2820052200,남동구,구월4동,2820052200,남동구,구월4동,unique_normalized_dong_name
2026-06-30,2820053000,남동구,간석1동,2820053000,남동구,간석1동,unique_normalized_dong_name
2026-06-30,2820054000,남동구,간석2동,2820054000,남동구,간석2동,unique_normalized_dong_name
2026-06-30,2820055000,남동구,간석3동,2820055000,남동구,간석3동,unique_normalized_dong_name
2026-06-30,2820055100,남동구,간석4동,2820055100,남동구,간석4동,unique_normalized_dong_name
2026-06-30,2820056000,남동구,만수1동,2820056000,남동구,만수1동,unique_normalized_dong_name
2026-06-30,2820057000,남동구,만수2동,2820057000,남동구,만수2동,unique_normalized_dong_name
2026-06-30,2820058000,남동구,만수3동,2820058000,남동구,만수3동,unique_normalized_dong_name
2026-06-30,2820058100,남동구,만수4동,2820058100,남동구,만수4동,unique_normalized_dong_name
2026-06-30,2820058200,남동구,만수5동,2820058200,남동구,만수5동,unique_normalized_dong_name
2026-06-30,2820058300,남동구,만수6동,2820058300,남동구,만수6동,unique_normalized_dong_name
2026-06-30,2820065000,남동구,장수서창동,2820065000,남동구,장수서창동,unique_normalized_dong_name
2026-06-30,2820065500,남동구,서창2동,2820065500,남동구,서창2동,unique_normalized_dong_name
2026-06-30,2820066000,남동구,남촌도림동,2820066000,남동구,남촌도림동,unique_normalized_dong_name
2026-06-30,2820069000,남동구,논현1동,2820069000,남동구,논현1동,unique_normalized_dong_name
2026-06-30,2820070000,남동구,논현2동,2820070000,남동구,논현2동,unique_normalized_dong_name
2026-06-30,2820071000,남동구,논현고잔동,2820071000,남동구,논현고잔동,unique_normalized_dong_name
2026-06-30,2823751000,부평구,부평1동,2823751000,부평구,부평1동,unique_normalized_dong_name
2026-06-30,2823752000,부평구,부평2동,2823752000,부평구,부평2동,unique_normalized_dong_name
2026-06-30,2823753000,부평구,부평3동,2823753000,부평구,부평3동,unique_normalized_dong_name
2026-06-30,2823754000,부평구,부평4동,2823754000,부평구,부평4동,unique_normalized_dong_name
2026-06-30,2823755000,부평구,부평5동,2823755000,부평구,부평5동,unique_normalized_dong_name
2026-06-30,2823756000,부평구,부평6동,2823756000,부평구,부평6동,unique_normalized_dong_name
2026-06-30,2823757000,부평구,산곡1동,2823757000,부평구,산곡1동,unique_normalized_dong_name
2026-06-30,2823758000,부평구,산곡2동,2823758000,부평구,산곡2동,unique_normalized_dong_name
2026-06-30,2823758100,부평구,산곡3동,2823758100,부평구,산곡3동,unique_normalized_dong_name
2026-06-30,2823758200,부평구,산곡4동,2823758200,부평구,산곡4동,unique_normalized_dong_name
2026-06-30,2823759100,부평구,청천1동,2823759100,부평구,청천1동,unique_normalized_dong_name
2026-06-30,2823759200,부평구,청천2동,2823759200,부평구,청천2동,unique_normalized_dong_name
2026-06-30,2823764100,부평구,갈산1동,2823764100,부평구,갈산1동,unique_normalized_dong_name
2026-06-30,2823764200,부평구,갈산2동,2823764200,부평구,갈산2동,unique_normalized_dong_name
2026-06-30,2823764600,부평구,삼산1동,2823764600,부평구,삼산1동,unique_normalized_dong_name
2026-06-30,2823764800,부평구,삼산2동,2823764800,부평구,삼산2동,unique_normalized_dong_name
2026-06-30,2823765000,부평구,부개1동,2823765000,부평구,부개1동,unique_normalized_dong_name
2026-06-30,2823766000,부평구,부개2동,2823766000,부평구,부개2동,unique_normalized_dong_name
2026-06-30,2823766100,부평구,부개3동,2823766100,부평구,부개3동,unique_normalized_dong_name
2026-06-30,2823767000,부평구,일신동,2823767000,부평구,일신동,unique_normalized_dong_name
2026-06-30,2823768000,부평구,십정1동,2823768000,부평구,십정1동,unique_normalized_dong_name
2026-06-30,2823769000,부평구,십정2동,2823769000,부평구,십정2동,unique_normalized_dong_name
2026-06-30,2824560100,계양구,효성1동,2824560100,계양구,효성1동,unique_normalized_dong_name
2026-06-30,2824560200,계양구,효성2동,2824560200,계양구,효성2동,unique_normalized_dong_name
2026-06-30,2824561100,계양구,계산1동,2824561100,계양구,계산1동,unique_normalized_dong_name
2026-06-30,2824561200,계양구,계산2동,2824561200,계양구,계산2동,unique_normalized_dong_name
2026-06-30,2824561300,계양구,계산3동,2824561300,계양구,계산3동,unique_normalized_dong_name
2026-06-30,2824561400,계양구,계산4동,2824561400,계양구,계산4동,unique_normalized_dong_name
2026-06-30,2824562100,계양구,작전1동,2824562100,계양구,작전1동,unique_normalized_dong_name
2026-06-30,2824562200,계양구,작전2동,2824562200,계양구,작전2동,unique_normalized_dong_name
2026-06-30,2824564000,계양구,작전서운동,2824564000,계양구,작전서운동,unique_normalized_dong_name
2026-06-30,2824571000,계양구,계양1동,2824571000,계양구,계양1동,unique_normalized_dong_name
2026-06-30,2824572000,계양구,계양2동,2824572000,계양구,계양2동,unique_normalized_dong_name
2026-06-30,2824573000,계양구,계양3동,2824573000,계양구,계양3동,unique_normalized_dong_name
2026-06-30,2826051500,서구,검암경서동,2827551500,서해구,검암경서동,unique_normalized_dong_name
2026-06-30,2826053000,서구,연희동,2827553000,서해구,연희동,unique_normalized_dong_name
2026-06-30,2826053600,서구,청라1동,2827553600,서해구,청라1동,unique_normalized_dong_name
2026-06-30,2826053700,서구,청라2동,2827553700,서해구,청라2동,unique_normalized_dong_name
2026-06-30,2826053900,서구,청라3동,2827553900,서해구,청라3동,unique_normalized_dong_name
2026-06-30,2826054200,서구,가정1동,2827554200,서해구,가정1동,unique_normalized_dong_name
2026-06-30,2826054300,서구,가정2동,2827554300,서해구,가정2동,unique_normalized_dong_name
2026-06-30,2826054400,서구,가정3동,2827554400,서해구,가정3동,unique_normalized_dong_name
2026-06-30,2826055000,서구,석남1동,2827555000,서해구,석남1동,unique_normalized_dong_name
2026-06-30,2826056000,서구,석남2동,2827556000,서해구,석남2동,unique_normalized_dong_name
