facility_id,facility_name,district,legal_dong,address,category_major,category_detail,facility_form,road_name_normalized,road_building_main,road_building_sub,matched_pnu,juso_current_district,juso_legal_dong,juso_admin_dong_code,juso_admin_dong_name,geocode_status,geocode_method,match_confidence,matched_juso_building_count,matched_vworld_polygon_count,source_latitude,source_longitude,geocoded_latitude,geocoded_longitude,best_latitude,best_longitude,coordinate_source,privacy_scope,requires_public_export_policy_review
fac_5db04ae96c25022c,해늘,부평구,,인천광역시 부평구 화랑북로 35-4,장애인복지,장애인 주간이용시설,주간이용,화랑북로,35,4,2823710300103250011,부평구,산곡동,2823758100,산곡3동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,2,1,,,37.496399,126.70703383,37.496399,126.70703383,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5dbe4f600306ce99,성촌의집,부평구,십정동,인천광역시 부평구 경인로 701번길 26 (십정동),장애인복지,생활시설 / 지체 | 장애인거주시설(법인),생활 | 생활시설,경인로701번길,26,0,2823710200105860002,부평구,십정동,2823769000,십정2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,6,6,,,37.47294117,126.70744069,37.47294117,126.70744069,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5dcda528e56c4340,엔젤노인복지센터,계양구,계산동,"인천광역시 계양구 계산로 67-2, 1층 (계산동)",노인복지,방문요양 | 재가장기요양기관 방문요양,장기요양기관 | 재가복지,계산로,67,2,2824510200109700015,계양구,계산동,2824561100,계산1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.53819646,126.71993101,37.53819646,126.71993101,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5de7781d26af354f,편안한재가복지센터,부평구,부평동,"인천광역시 부평구 경원대로1256번길 17-1, 1층 (부평동)",노인복지,방문목욕 | 방문요양 | 재가노인복지시설 방문목욕 | 재가노인복지시설 방문요양,장기요양기관 | 재가복지,경원대로1256번길,17,1,2823710100102830112,부평구,부평동,2823753000,부평3동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.48842841,126.71042225,37.48842841,126.71042225,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5de961ec38753d21,이든실버케어센터,부평구,삼산동,인천광역시 부평구 평천로 447 7704동106호 (삼산동),노인복지,재가장기요양기관 방문목욕 | 재가장기요양기관 방문요양,장기요양기관,평천로,447,0,2823710500101570000,부평구,삼산동,2823764600,삼산1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,11,6,,,37.51797845,126.74050851,37.51797845,126.74050851,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5e05a69283500b20,보듬애재가노인복지센터,연수구,동춘동,인천광역시 연수구 동곡재로 190(동춘동),노인복지,방문목욕 | 방문요양,재가복지,동곡재로,190,0,2818510500102240002,연수구,동춘동,2818578000,동춘1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,2,,,37.41273598,126.66476192,37.41273598,126.66476192,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5e1859d1c52bfb8b,강화백석노인전문요양원,강화군,양도면,인천광역시 강화군 양도면 강화남로 596 (양도면),노인복지,노인요양시설(개정법),장기요양기관,강화남로,596,0,2871035028104030004,강화군,양도면,2871035000,양도면,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.65502298,126.42873432,37.65502298,126.42873432,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5e339fb1b9a953b6,성심요양원,미추홀구,주안동,"인천광역시 미추홀구 미추홀대로657번길 1, 2층 (주안동)",노인복지,노인의료복지시설,,미추홀대로657번길,1,0,2817710500104810001,미추홀구,주안동,2817763000,주안2동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,37.4560139,126.6797616,37.45604905,126.67972228,37.4560139,126.6797616,source_dataset_coordinate,private_analysis_only,true
fac_5e3c0350874d70fe,부평실버케어요양원,부평구,부평동,"인천광역시 부평구 부평대로51번길 7, 9~10층 (부평동)",노인복지,노인요양시설 | 노인요양시설(개정법),의료복지 | 장기요양기관,부평대로51번길,7,0,2823710100105430020,부평구,부평동,2823751000,부평1동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.49589374,126.7221629,37.49589374,126.7221629,juso_pnu_vworld_representative_point,private_analysis_only,true
fac_5e8b1ab3b839f6b1,심온재가노인복지센타,연수구,,인천광역시 연수구 비류대로 294번길 6-20,노인복지,방문요양,재가복지,비류대로294번길,6,20,2818510400105670007,연수구,청학동,2818576600,청학동,matched_vworld_pnu,exact_road_name_building_number_unique_pnu_then_vworld_building_union_representative_point,high,1,1,,,37.42613745,126.66608583,37.42613745,126.66608583,juso_pnu_vworld_representative_point,private_analysis_only,true
