current_admin_dong_code_20260701,current_district_name_20260701,current_dong_name_20260701,geometry_zone_id,geometry_adm_cd_20250630,geometry_district_name_20250630,geometry_dong_name_20250630,geometry_base_date,mapping_status,mapping_method,mapping_confidence,aggregation_required,aggregation_group_size,metric_handling,notes
2817755000,미추홀구,용현2동,vworld_sgis_20250630:23090560,23090560,미추홀구,용현2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817756000,미추홀구,용현3동,vworld_sgis_20250630:23090570,23090570,미추홀구,용현3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817757000,미추홀구,용현5동,vworld_sgis_20250630:23090590,23090590,미추홀구,용현5동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817758000,미추홀구,학익1동,vworld_sgis_20250630:23090600,23090600,미추홀구,학익1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817759000,미추홀구,학익2동,vworld_sgis_20250630:23090610,23090610,미추홀구,학익2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817760000,미추홀구,도화1동,vworld_sgis_20250630:23090620,23090620,미추홀구,도화1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817761000,미추홀구,도화2.3동,vworld_sgis_20250630:23090770,23090770,미추홀구,도화2·3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817762000,미추홀구,주안1동,vworld_sgis_20250630:23090650,23090650,미추홀구,주안1동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817763000,미추홀구,주안2동,vworld_sgis_20250630:23090660,23090660,미추홀구,주안2동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
2817764000,미추홀구,주안3동,vworld_sgis_20250630:23090670,23090670,미추홀구,주안3동,20250630,mapped,unique_normalized_name,high,false,1,direct_geometry_join,2025 공간구역과 정규화 동명이 인천 내에서 유일하게 일치
