source_stop_number,source_stop_name,normalized_stop_name,stop_match_key,match_status,match_candidate_count,same_number_candidate_count,candidate_place_ids,candidate_names,place_id,master_source_id,master_stop_name,source_district,district,dong,latitude,longitude,coordinate_status,valid_wgs84,in_incheon,point_status,source_dates,route_row_count,distinct_route_count,distinct_route_number_count,distinct_route_direction_count,distinct_direction_count,directions,route_ids,route_numbers,major_via_yes_row_count
35786,율목오거리,율목오거리,35786|율목오거리,matched,1,1,bus:161000786,율목오거리,bus:161000786,161000786,율목오거리,중구,제물포구,율목동,37.4712363,126.6341631,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,168000035,인천e음11,0
35787,율목동행정복지센터,율목동행정복지센터,35787|율목동행정복지센터,matched,1,1,bus:161000787,율목동행정복지센터,bus:161000787,161000787,율목동행정복지센터,중구,제물포구,율목동,37.4695780,126.6356565,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,168000035,인천e음11,0
35788,도원동행정복지센터(앞),도원동행정복지센터앞,35788|도원동행정복지센터앞,matched,1,1,bus:161000788,도원동행정복지센터(앞),bus:161000788,161000788,도원동행정복지센터(앞),중구,제물포구,도원동,37.4681050,126.6376645,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,168000035,인천e음11,0
35789,신흥동주민자치센터,신흥동주민자치센터,35789|신흥동주민자치센터,matched,1,1,bus:161000789,신흥동주민자치센터,bus:161000789,161000789,신흥동주민자치센터,중구,제물포구,신흥동,37.4651991,126.6362480,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,168000035,인천e음11,0
35791,신포사거리,신포사거리,35791|신포사거리,matched,1,1,bus:161000791,신포사거리,bus:161000791,161000791,신포사거리,중구,제물포구,동인천동,37.4708520,126.6230146,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000035,인천e음11,0
35792,신포역·인천세관역사공원,신포역인천세관역사공원,35792|신포역인천세관역사공원,matched,1,1,bus:161000792,신포역·인천세관역사공원,bus:161000792,161000792,신포역·인천세관역사공원,중구,제물포구,신포동,37.4691123,126.6238596,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000035,인천e음11,0
35793,인성여자고등학교,인성여자고등학교,35793|인성여자고등학교,matched,1,1,bus:161000793,인성여자고등학교,bus:161000793,161000793,인성여자고등학교,중구,제물포구,신포동,37.4731525,126.6248981,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000035,인천e음11,0
35794,홍예문·공영주차장,홍예문공영주차장,35794|홍예문공영주차장,matched,1,1,bus:161000794,홍예문·공영주차장,bus:161000794,161000794,홍예문·공영주차장,중구,제물포구,동인천동,37.4754222,126.6266914,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000035,인천e음11,0
35795,동인천동행정복지센터,동인천동행정복지센터,35795|동인천동행정복지센터,matched,1,1,bus:161000795,동인천동행정복지센터,bus:161000795,161000795,동인천동행정복지센터,중구,제물포구,동인천동,37.4764440,126.6289660,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,하행,168000035,인천e음11,0
35796,신포역·인천세관역사공원,신포역인천세관역사공원,35796|신포역인천세관역사공원,matched,1,1,bus:161000796,신포역·인천세관역사공원,bus:161000796,161000796,신포역·인천세관역사공원,중구,제물포구,신포동,37.4689191,126.6235151,valid_header_swapped,true,true,incheon_map_ready,2025-12-31,1,1,1,1,1,상행,168000012,인천e음12,1
